Time,Loss,Accuracy,valLoss,valAccuracy
12,3.424,0.1059,2.3354,0.1
2,2.3963,0.1765,2.4908,0.1
2,2.1325,0.2176,2.7675,0.1
2,2.141,0.3059,2.9552,0.0875
2,2.0309,0.3588,3.3143,0.1625
2,2.0753,0.3412,4.3693,0.1
2,2.0341,0.2706,2.886,0.1375
2,2.0645,0.3412,3.7046,0.1
2,1.9622,0.2824,3.8853,0.1
2,1.8431,0.4,3.7269,0.125
2,1.6007,0.4471,3.6336,0.1
2,1.7469,0.4118,4.1599,0.1125
2,1.9193,0.3412,4.4074,0.1
2,1.6575,0.4294,5.7795,0.1
2,1.563,0.4706,3.5157,0.15
2,1.5433,0.5176,3.1211,0.2
2,1.7046,0.3824,3.1042,0.175
2,1.4242,0.5353,3.6952,0.2
2,1.6294,0.4294,3.389,0.15
2,1.5393,0.4412,2.9777,0.15
2,1.3168,0.5235,3.7212,0.175
2,1.4111,0.4824,3.6096,0.1875
2,1.4698,0.5059,3.0292,0.2375
2,1.3449,0.5706,3.5417,0.225
2,1.2499,0.5235,4.6254,0.1875
2,1.4171,0.5353,4.0841,0.1875
2,1.0746,0.6,2.9493,0.2375
2,1.2109,0.5882,4.9999,0.175
2,0.9785,0.6765,3.4111,0.275
2,1.1844,0.6,3.8862,0.2875
2,1.0845,0.6353,2.8426,0.3125
2,1.0081,0.6294,2.8094,0.325
2,0.9595,0.6529,3.1785,0.2875
2,0.7271,0.7529,3.5804,0.2375
2,0.7028,0.7882,3.4309,0.3125
2,0.9913,0.6765,3.2378,0.2625
2,1.0926,0.5941,3.503,0.3125
2,0.9171,0.6882,3.1093,0.2625
2,0.6248,0.7647,3.4774,0.2875
2,0.5717,0.7824,4.3655,0.2625
2,0.6717,0.7882,3.4655,0.325
2,0.5984,0.7882,4.0377,0.375
2,0.7341,0.7471,3.9296,0.3625
2,0.5498,0.8059,3.8816,0.3
2,0.7683,0.7471,3.7475,0.2875
2,0.651,0.7471,3.3553,0.2875
2,0.5954,0.8176,3.3667,0.3
2,0.5266,0.8294,3.323,0.275
3,0.64,0.8,2.974,0.325
2,0.5547,0.8176,3.114,0.4
2,0.3741,0.8647,3.2936,0.2875
2,0.3505,0.8529,3.4127,0.3625
2,0.4433,0.8176,3.291,0.3
2,0.5734,0.8118,3.7884,0.2875
2,0.6199,0.8294,3.7644,0.3
2,0.5724,0.7941,3.8931,0.2875
2,0.4583,0.8353,3.7987,0.3
2,0.4901,0.8294,4.4276,0.325
2,0.3202,0.8882,4.5218,0.3
2,0.4455,0.8647,3.7553,0.275
2,0.4366,0.8471,3.9693,0.225
2,0.3932,0.8647,4.78,0.3625
2,0.5219,0.8294,5.0471,0.275
2,0.3387,0.8588,3.2928,0.375
2,0.262,0.9118,3.5315,0.35
2,0.3194,0.8824,3.723,0.35
2,0.1925,0.9176,3.6832,0.325
2,0.1894,0.9353,3.9546,0.2875
2,0.1948,0.9294,3.4899,0.35
2,0.3546,0.8882,3.9396,0.3125
2,0.5041,0.8412,4.1182,0.3625
2,0.6456,0.7882,8.0316,0.125
2,0.6974,0.7353,6.3417,0.175
2,0.416,0.8412,4.3153,0.2875
2,0.3692,0.8706,4.7501,0.275
2,0.3284,0.8647,3.1442,0.4
2,0.2112,0.9176,4.0356,0.3125
2,0.2018,0.9235,3.3443,0.4
2,0.1868,0.9294,4.0574,0.3375
2,0.2001,0.9235,3.5036,0.3125
2,0.1256,0.9529,3.5156,0.3625
2,0.1716,0.9412,4.0482,0.35
2,0.1711,0.9235,3.3231,0.35
2,0.154,0.9412,3.8462,0.3875
2,0.2459,0.9294,4.5215,0.35
2,0.2697,0.9,4.126,0.375
2,0.3148,0.8824,4.2031,0.3375
2,0.3918,0.8647,4.5805,0.3125
2,0.4762,0.8412,6.0355,0.1875
2,0.3652,0.8706,4.9741,0.3125
2,0.3342,0.8882,4.8243,0.325
2,0.3158,0.8941,4.7779,0.3375
2,0.3269,0.8588,4.6034,0.3375
2,0.4736,0.8588,6.464,0.275
2,0.528,0.8294,3.8388,0.275
2,0.2119,0.9176,3.8147,0.325
2,0.2027,0.9118,3.9448,0.2875
2,0.2407,0.9294,4.0557,0.275
2,0.2034,0.9176,3.4276,0.275
2,0.2685,0.9118,3.5388,0.2875
