Time,Loss,Accuracy,valLoss,valAccuracy
5,2.5441,0.1,2.3051,0.1
2,2.2483,0.1941,2.3234,0.1
2,2.1013,0.2412,2.3588,0.1
2,2.0217,0.2765,2.4124,0.1
2,2.0428,0.2706,2.4598,0.1
2,1.8319,0.3647,2.5584,0.1
2,1.5173,0.4529,2.6983,0.1
2,1.6025,0.4176,2.8924,0.1
2,1.5951,0.4118,3.1417,0.1
2,1.2634,0.5824,3.2421,0.1
2,0.9959,0.6529,3.6354,0.1
2,1.1014,0.6176,3.7658,0.1
2,0.8789,0.6882,3.933,0.1
2,1.0592,0.6647,4.1771,0.1
2,0.7563,0.7294,4.3847,0.1
2,0.7034,0.7588,4.7313,0.1
2,0.6997,0.7647,5.4203,0.1
2,0.8312,0.7,5.471,0.1
2,0.7879,0.7706,5.9537,0.1
2,0.8,0.7294,6.1846,0.1
2,0.7616,0.7118,6.6806,0.1
2,0.6974,0.7941,6.7283,0.1
2,0.6755,0.7588,7.0586,0.1
2,0.5682,0.8294,6.0869,0.1
2,0.3229,0.8706,7.0191,0.1
2,0.3634,0.8824,6.6087,0.1
2,0.2714,0.9118,6.3587,0.1
2,0.2027,0.9294,6.2325,0.1
2,0.247,0.9118,5.9563,0.1
2,0.2468,0.9118,5.9987,0.1
2,0.1539,0.9588,6.0578,0.1
2,0.2394,0.9059,5.6325,0.1
2,0.2742,0.9176,5.6762,0.1125
2,0.4284,0.8471,5.019,0.1
2,0.2166,0.9118,4.8809,0.1
2,0.3034,0.9,4.6985,0.125
2,0.2466,0.9059,4.0085,0.1
2,0.3032,0.9,4.0533,0.125
2,0.25,0.8941,3.5873,0.175
2,0.3517,0.8765,3.9421,0.2
2,0.3694,0.8529,3.7648,0.2
2,0.2051,0.9353,3.0244,0.225
2,0.309,0.8824,2.8947,0.325
2,0.2394,0.9059,3.1322,0.3875
2,0.247,0.9,3.4326,0.3
2,0.3694,0.8471,5.5823,0.175
2,0.2286,0.9118,4.1169,0.2375
2,0.1652,0.9412,3.7593,0.325
2,0.2027,0.9118,3.5264,0.3125
2,0.1684,0.9235,3.9317,0.3125
2,0.235,0.9,3.727,0.3375
2,0.217,0.9294,4.3105,0.2875
2,0.2999,0.9118,4.4449,0.2375
2,0.267,0.9235,5.0271,0.275
2,0.3381,0.9,4.1918,0.2375
2,0.2643,0.9294,4.5048,0.2375
2,0.1963,0.9294,5.8996,0.225
2,0.2117,0.9118,5.5006,0.275
2,0.2542,0.9294,4.393,0.275
2,0.2406,0.8941,8.7842,0.2125
2,0.2083,0.9118,8.5741,0.2125
2,0.1696,0.9235,3.9416,0.2625
2,0.1447,0.9176,4.6238,0.25
2,0.1987,0.9235,7.6921,0.225
2,0.1947,0.9235,5.6994,0.3
2,0.1799,0.9176,7.419,0.275
2,0.1915,0.9176,4.5077,0.2625
2,0.2552,0.9,5.5252,0.275
2,0.2751,0.8941,4.1401,0.3
2,0.2785,0.8824,4.0034,0.3625
2,0.2049,0.9176,4.4566,0.3125
2,0.2409,0.9176,4.6368,0.3125
2,0.2897,0.9118,5.1539,0.25
2,0.2138,0.9235,4.5093,0.275
2,0.1106,0.9529,3.6275,0.3125
2,0.1086,0.9471,3.2135,0.3875
2,0.1308,0.9529,2.9326,0.4
2,0.135,0.9353,3.5001,0.325
2,0.1852,0.9118,3.2888,0.3125
2,0.1522,0.9235,3.863,0.375
2,0.1362,0.9529,3.2405,0.325
2,0.1284,0.9471,2.9122,0.3125
2,0.1471,0.9235,3.115,0.3625
2,0.187,0.9235,3.0797,0.3625
2,0.132,0.9412,3.6614,0.35
2,0.1879,0.9176,4.2844,0.225
2,0.1712,0.9412,3.9818,0.2
2,0.137,0.9235,4.7046,0.225
2,0.1473,0.9471,4.4027,0.225
2,0.11,0.9647,4.1963,0.2375
2,0.0978,0.9471,4.0581,0.25
2,0.0963,0.9529,3.8364,0.275
2,0.1039,0.9647,3.2212,0.3
2,0.1279,0.9588,3.2006,0.2875
2,0.0748,0.9471,3.2052,0.35
2,0.1214,0.9353,3.3536,0.325
2,0.0802,0.9471,3.4536,0.35
2,0.131,0.9294,3.9188,0.3125
2,0.0824,0.9647,3.8859,0.3
2,0.0896,0.9588,3.4575,0.3375
