Time,Loss,Accuracy,valLoss,valAccuracy
12,2.7038,0.1353,2.3026,0.1
4,2.3903,0.2176,2.3026,0.1
4,1.9978,0.2941,2.3026,0.1
4,2.0217,0.2941,2.3027,0.1
4,1.7626,0.4118,2.3027,0.1
4,1.5831,0.4529,2.303,0.1
4,1.2474,0.5882,2.3036,0.1
4,1.4548,0.4647,2.3046,0.1
4,1.2726,0.5647,2.3073,0.1
4,1.1057,0.6118,2.3102,0.1
4,0.8139,0.6941,2.3156,0.1
4,0.7563,0.7412,2.3228,0.1
4,0.609,0.8,2.348,0.1
4,0.5617,0.8235,2.3667,0.1
4,0.4715,0.8294,2.3964,0.1
4,0.4158,0.8824,2.4277,0.1125
4,0.456,0.8824,2.5048,0.1
4,0.3233,0.9059,2.5704,0.1
4,0.2409,0.9294,2.6141,0.1
4,0.2206,0.9294,2.6722,0.1125
4,0.2991,0.8824,2.6936,0.1125
4,0.4342,0.8118,3.0398,0.1
4,0.5244,0.8294,2.7757,0.1
4,0.3208,0.8824,2.9131,0.1125
4,0.2892,0.9059,3.0157,0.125
4,0.2125,0.9118,3.279,0.1
4,0.2108,0.9353,3.201,0.125
4,0.1813,0.9353,3.4794,0.1
4,0.1975,0.9353,3.027,0.15
4,0.1722,0.9471,3.1852,0.1625
4,0.1774,0.9353,2.7014,0.175
4,0.1643,0.9294,2.776,0.225
4,0.1441,0.9412,2.5601,0.225
4,0.146,0.9412,2.1446,0.3125
4,0.1429,0.9412,2.3435,0.3375
4,0.0976,0.9529,2.4835,0.4
4,0.1181,0.9529,2.2991,0.375
4,0.1206,0.9471,2.4886,0.3625
4,0.092,0.9588,2.4085,0.425
4,0.1008,0.9706,2.6295,0.3875
4,0.1053,0.9529,2.7041,0.4
4,0.0825,0.9529,2.6279,0.4
4,0.0807,0.9588,2.446,0.4375
4,0.0942,0.9471,2.2271,0.4375
4,0.1097,0.9529,2.272,0.425
4,0.085,0.9588,2.5101,0.3875
4,0.0759,0.9588,2.5401,0.4375
4,0.0706,0.9412,2.4867,0.425
4,0.0666,0.9647,2.5259,0.425
4,0.0805,0.9647,2.6755,0.4
4,0.1425,0.9294,2.7826,0.425
4,0.1276,0.9353,3.6414,0.2375
4,0.1222,0.9235,4.1327,0.2625
4,0.1643,0.9235,3.9528,0.275
4,0.2159,0.9059,9.7092,0.1625
4,0.2593,0.9176,7.3987,0.25
4,0.2344,0.9235,13.2063,0.175
4,0.3299,0.8647,18.9827,0.1375
4,0.6306,0.8235,20.7588,0.1
4,0.6159,0.7882,37.7733,0.1125
4,0.442,0.8353,71.115,0.125
4,0.5582,0.7765,39.1559,0.15
4,0.3959,0.8412,18.6095,0.1375
4,0.3861,0.8647,17.2509,0.15
4,0.2375,0.9118,16.6485,0.2
4,0.1622,0.9176,17.9645,0.1625
4,0.1812,0.9235,10.0971,0.1875
4,0.1305,0.9647,6.86,0.25
4,0.1883,0.9353,4.7805,0.3625
4,0.1611,0.9294,3.4589,0.375
4,0.1527,0.9118,4.1707,0.3375
4,0.2723,0.9176,6.2708,0.2625
4,0.158,0.9294,6.547,0.2125
4,0.1097,0.9471,6.0993,0.2375
4,0.1218,0.9529,6.07,0.25
4,0.0977,0.9471,5.1762,0.25
4,0.088,0.9412,4.33,0.35
4,0.1022,0.9529,4.0815,0.375
4,0.1024,0.9588,3.5617,0.3625
4,0.0986,0.9471,3.0176,0.4
4,0.0788,0.9471,3.084,0.35
4,0.0817,0.9529,3.0615,0.3875
4,0.0869,0.9588,3.3462,0.3625
4,0.0666,0.9706,3.136,0.3625
4,0.0609,0.9647,3.1822,0.3625
4,0.0867,0.9471,3.3063,0.375
4,0.079,0.9529,4.35,0.325
4,0.0849,0.9412,3.5108,0.3875
4,0.0712,0.9412,3.44,0.3625
4,0.0703,0.9588,3.0546,0.375
4,0.0697,0.9588,3.101,0.4
4,0.0739,0.9588,2.876,0.4
4,0.0648,0.9647,2.8128,0.375
4,0.0723,0.9588,2.6948,0.375
4,0.0823,0.9471,2.7106,0.425
4,0.0676,0.9647,2.7196,0.4
4,0.0587,0.9588,3.0841,0.4
4,0.0582,0.9471,3.0184,0.3875
4,0.0647,0.9529,2.8055,0.4
4,0.0611,0.9647,2.6169,0.375
