Time,Loss,Accuracy,valLoss,valAccuracy
9,5.2836,0.1059,2.6043,0.1
1,3.058,0.1118,5.3166,0.1
1,2.5892,0.2471,5.7547,0.1
1,2.1133,0.3706,4.2283,0.1
1,1.7286,0.5118,4.1856,0.1
1,1.491,0.5294,7.1752,0.1
1,1.6792,0.5647,9.4282,0.1
1,1.4556,0.5882,7.7369,0.1
1,1.2382,0.6765,6.064,0.1
1,0.7733,0.7706,5.2343,0.0625
1,1.0978,0.7,6.4709,0.1
1,1.0265,0.6824,8.2361,0.1
1,1.0727,0.6941,15.6907,0.1
1,0.9684,0.7059,4.5599,0.1
1,0.5851,0.8294,7.4187,0.1
1,0.4946,0.8706,6.0261,0.125
1,0.6533,0.8353,6.2025,0.1
1,0.8266,0.8,12.3377,0.1
1,0.8537,0.7706,9.1089,0.1375
1,0.5791,0.8235,5.4612,0.15
2,0.3745,0.8706,6.8383,0.1375
1,0.455,0.8294,5.4093,0.2375
1,0.2939,0.8941,6.1441,0.2625
1,0.3469,0.8706,4.886,0.225
1,0.3721,0.8941,6.3576,0.125
1,0.3575,0.8706,5.4601,0.2
1,0.2389,0.8706,5.7176,0.15
1,0.424,0.8882,5.576,0.225
1,0.535,0.8353,6.0149,0.2
1,0.3878,0.8882,5.5622,0.2125
1,0.236,0.9235,5.6183,0.2125
1,0.3373,0.8765,8.177,0.175
1,0.3714,0.9176,5.3908,0.2
1,0.3572,0.8765,6.5741,0.2375
1,0.4372,0.8647,7.1641,0.225
1,0.2826,0.8882,6.8465,0.1375
1,0.3867,0.8529,7.2064,0.275
1,0.2159,0.9118,5.3831,0.225
1,0.2624,0.8941,5.2238,0.225
1,0.2282,0.9294,5.6911,0.275
1,0.1667,0.9353,6.6315,0.2125
1,0.2189,0.9294,6.0054,0.2125
1,0.1276,0.9353,4.9676,0.3125
1,0.1798,0.9412,5.3501,0.2
1,0.2353,0.9176,6.1325,0.2
1,0.2296,0.9294,6.1491,0.175
1,0.1736,0.9294,5.8662,0.2
1,0.2298,0.9059,5.3992,0.2
1,0.2102,0.9176,5.7713,0.2375
1,0.198,0.9471,4.5194,0.225
1,0.1472,0.9471,5.356,0.2375
1,0.1285,0.9471,6.5757,0.1875
1,0.1677,0.9412,6.2573,0.2375
1,0.2039,0.9294,5.3884,0.3
1,0.208,0.9294,5.6861,0.2
1,0.1704,0.9235,6.8547,0.1625
1,0.1761,0.9412,6.5965,0.1625
1,0.2333,0.9294,5.8529,0.1625
1,0.1622,0.9294,6.1576,0.225
1,0.2986,0.8882,5.3416,0.2125
1,0.2239,0.9118,5.3955,0.2375
1,0.1925,0.9235,5.4551,0.1625
1,0.1561,0.9471,4.6112,0.2
1,0.0867,0.9588,4.5153,0.2
1,0.0742,0.9588,5.0435,0.225
1,0.1688,0.9529,4.5207,0.3
1,0.1468,0.9353,4.5475,0.2375
1,0.1957,0.9118,4.6264,0.25
1,0.2096,0.9471,5.8446,0.2375
1,0.2669,0.9176,6.003,0.2375
1,0.2724,0.9118,6.1299,0.225
1,0.2919,0.9,6.2251,0.275
1,0.485,0.8588,8.5674,0.1375
1,0.2522,0.9176,9.3136,0.1875
1,0.2695,0.9118,7.9513,0.1875
1,0.3057,0.8824,6.6067,0.2
1,0.3164,0.8941,6.258,0.2375
1,0.3172,0.9059,5.4292,0.2
1,0.3632,0.8824,9.514,0.175
1,0.3583,0.8588,8.0003,0.1375
1,0.2894,0.9176,6.4538,0.225
1,0.1565,0.9294,6.8217,0.2125
1,0.1895,0.8941,10.8044,0.1625
1,0.1456,0.9353,9.6098,0.1625
1,0.1439,0.9471,6.513,0.2375
1,0.1669,0.9412,5.602,0.2375
1,0.1361,0.9235,8.8685,0.1
1,0.1759,0.9235,5.8712,0.25
1,0.1821,0.9353,5.2329,0.225
1,0.0905,0.9706,5.2157,0.25
1,0.0868,0.9588,5.4824,0.25
1,0.111,0.9412,5.4977,0.225
1,0.1176,0.9588,5.1928,0.25
1,0.1146,0.9588,4.9376,0.2375
1,0.0731,0.9529,4.9163,0.2625
1,0.0593,0.9529,4.9082,0.225
1,0.0618,0.9588,4.7804,0.25
1,0.0658,0.9706,4.6168,0.25
1,0.0614,0.9588,4.6235,0.225
1,0.0593,0.9588,4.6317,0.2375
