Time,Loss,Accuracy,valLoss,valAccuracy
27,2.9265,0.0882,2.4083,0.1125
17,2.0256,0.3176,3.027,0.1
17,1.2535,0.5765,3.1268,0.125
17,1.0978,0.6647,3.2083,0.1
17,1.2073,0.5529,3.5376,0.1375
17,0.7915,0.7529,2.7149,0.15
17,0.6491,0.7765,4.8694,0.1
17,0.7465,0.7471,3.6291,0.1
17,0.6082,0.7941,3.7625,0.15
18,0.4282,0.8471,4.3756,0.125
17,0.3846,0.8824,4.1347,0.1375
17,0.4617,0.8765,6.4043,0.1125
17,0.5526,0.7941,4.6013,0.0875
17,0.6953,0.7765,3.5847,0.225
17,0.5786,0.7647,5.83,0.1125
17,0.3108,0.9,3.8815,0.15
17,0.2286,0.9353,4.0956,0.1125
17,0.2451,0.9118,4.7913,0.1
17,0.2876,0.9,4.1292,0.1875
17,0.1482,0.9588,4.4267,0.225
17,0.234,0.9118,4.6518,0.2125
17,0.3553,0.8941,11.2275,0.1
17,0.4476,0.8647,6.872,0.1375
17,0.3619,0.8824,5.4046,0.175
17,0.2311,0.9353,3.8233,0.2
17,0.2464,0.9235,3.5442,0.25
17,0.1766,0.9353,3.5107,0.175
17,0.3435,0.8471,3.9254,0.15
18,0.3885,0.8765,6.0893,0.1625
17,0.4134,0.8647,4.7786,0.1875
17,0.3152,0.8765,4.7584,0.15
17,0.3533,0.8647,4.999,0.15
17,0.52,0.8471,4.229,0.1625
17,0.3337,0.8882,5.252,0.1375
17,0.2918,0.9059,4.8507,0.1875
17,0.18,0.9471,4.7113,0.225
17,0.1248,0.9529,3.8486,0.3125
18,0.1313,0.9471,3.7425,0.3
17,0.1225,0.9412,3.8413,0.3125
17,0.1235,0.9412,4.9706,0.2125
17,0.1035,0.9529,3.8766,0.1625
17,0.1389,0.9471,4.065,0.2125
17,0.1639,0.9176,4.6099,0.1625
17,0.1513,0.9412,4.1537,0.1625
17,0.0951,0.9412,3.8927,0.275
17,0.0879,0.9471,3.689,0.2375
18,0.0831,0.9471,3.4923,0.225
17,0.0859,0.9471,3.6206,0.2625
17,0.071,0.9647,3.7153,0.2375
17,0.0809,0.9529,3.5772,0.275
17,0.1047,0.9471,3.7371,0.3125
17,0.191,0.9412,4.1514,0.175
17,0.0988,0.9471,4.9285,0.2
17,0.147,0.9176,4.3444,0.225
17,0.1503,0.9412,4.7665,0.1375
18,0.1322,0.9176,4.8427,0.2125
17,0.1548,0.9235,4.1331,0.2375
17,0.2096,0.9,5.1769,0.2125
17,0.2267,0.9,4.9568,0.1875
17,0.2453,0.9118,7.6986,0.075
17,0.2178,0.9,6.9374,0.0875
17,0.1764,0.9118,6.9203,0.1375
17,0.1722,0.9353,5.2003,0.175
17,0.1666,0.9412,4.9119,0.1625
18,0.1438,0.9353,5.4087,0.1625
17,0.1458,0.9353,5.384,0.1
17,0.1235,0.9353,5.3404,0.1875
17,0.1333,0.9529,4.7901,0.175
17,0.1221,0.9294,4.7952,0.1625
17,0.142,0.9176,5.9742,0.1375
17,0.1323,0.9235,4.9614,0.1625
17,0.245,0.9059,8.6318,0.1375
17,0.497,0.8529,5.2687,0.2125
18,0.3255,0.9,4.8791,0.1625
17,0.2517,0.9118,3.8621,0.2
17,0.1213,0.9294,4.4019,0.2125
17,0.1073,0.9471,4.184,0.1875
17,0.1216,0.9529,4.5883,0.1875
17,0.1633,0.9176,5.0237,0.2125
17,0.1951,0.9294,5.2854,0.1375
17,0.0946,0.9471,4.916,0.2
17,0.0812,0.9588,5.3625,0.125
18,0.0614,0.9647,4.9741,0.175
17,0.0594,0.9647,4.5072,0.1625
17,0.059,0.9588,4.3197,0.2
17,0.0531,0.9647,4.2244,0.25
17,0.0693,0.9647,4.1176,0.25
17,0.0711,0.9588,4.1129,0.25
17,0.0991,0.9353,4.9223,0.175
17,0.0746,0.9529,4.7943,0.2125
17,0.0722,0.9529,4.3664,0.2125
17,0.0697,0.9647,4.1284,0.2125
18,0.0509,0.9706,3.933,0.25
17,0.0589,0.9647,3.9284,0.225
17,0.0526,0.9588,3.922,0.225
17,0.0601,0.9529,3.9951,0.2125
17,0.0532,0.9529,3.9902,0.225
17,0.0605,0.9529,4.1819,0.2
17,0.0574,0.9647,4.274,0.2125
17,0.1002,0.9412,3.952,0.225
