Time,Loss,Accuracy,valLoss,valAccuracy
19,2.4583,0.1813,2.5416,0.132
10,2.0637,0.26,2.3446,0.164
10,1.9716,0.3053,2.8578,0.236
10,1.8711,0.356,2.7776,0.18
10,1.8213,0.3387,2.2514,0.248
10,1.7084,0.3987,2.1185,0.312
10,1.6492,0.4093,2.8361,0.212
10,1.6154,0.432,3.1772,0.308
10,1.5634,0.4573,2.1682,0.364
10,1.5235,0.452,2.6327,0.316
10,1.4823,0.472,4.9061,0.26
10,1.4906,0.4813,11.1878,0.176
10,1.4198,0.4973,5.2544,0.172
10,1.3399,0.5267,5.0159,0.216
10,1.3116,0.5453,1.9604,0.368
10,1.2695,0.564,2.2881,0.432
10,1.1886,0.5907,1.7828,0.468
10,1.1078,0.62,3.6102,0.272
10,1.1213,0.588,3.8672,0.26
10,1.0522,0.612,4.1837,0.324
10,0.9254,0.696,1.9084,0.492
10,0.9371,0.684,2.3644,0.384
10,0.7821,0.7107,2.7463,0.364
10,0.823,0.7147,2.208,0.404
10,0.6835,0.7573,3.1234,0.316
10,0.6734,0.7747,4.441,0.32
10,0.6254,0.784,2.8945,0.392
10,0.4286,0.86,8.1239,0.2
10,0.3627,0.8733,3.6642,0.292
10,0.5549,0.812,4.9672,0.236
10,0.5548,0.808,4.1193,0.364
10,0.3653,0.8733,3.0695,0.412
10,0.3006,0.8987,4.1522,0.304
10,0.3362,0.8813,3.5128,0.38
10,0.2353,0.9293,5.1768,0.372
10,0.2743,0.9173,3.1301,0.424
10,0.2181,0.9213,2.7616,0.444
10,0.2381,0.9227,3.3025,0.408
10,0.2072,0.9293,3.6194,0.424
10,0.1883,0.944,3.6638,0.412
10,0.1798,0.9533,3.9679,0.372
10,0.1769,0.9453,3.4648,0.42
10,0.1246,0.9667,3.8425,0.416
10,0.1629,0.9573,4.1965,0.448
10,0.1611,0.944,3.1066,0.428
10,0.1539,0.944,3.1966,0.42
10,0.105,0.9627,3.2293,0.408
10,0.1112,0.9627,3.9206,0.444
10,0.1214,0.9653,3.3661,0.44
10,0.13,0.964,4.839,0.352
10,0.145,0.96,4.3946,0.408
10,0.2464,0.9293,5.331,0.34
10,0.1588,0.956,4.1258,0.4
10,0.0965,0.968,3.2557,0.448
10,0.1389,0.9547,4.1464,0.432
10,0.1217,0.96,3.3008,0.4
10,0.1259,0.96,4.284,0.432
10,0.1734,0.9453,3.5115,0.404
10,0.0996,0.9667,3.6455,0.48
10,0.1139,0.9733,3.8126,0.42
10,0.1102,0.9667,3.6016,0.428
10,0.0736,0.976,3.9099,0.436
10,0.083,0.968,4.8946,0.348
10,0.1544,0.9533,3.5771,0.468
10,0.1031,0.972,3.1208,0.432
10,0.0709,0.9747,3.8655,0.452
10,0.097,0.968,3.8326,0.436
10,0.1008,0.9707,4.3122,0.44
10,0.0891,0.9707,3.9172,0.464
10,0.0576,0.984,3.7048,0.448
10,0.1529,0.952,3.2321,0.388
10,0.1012,0.9667,4.8563,0.328
10,0.1209,0.956,4.0806,0.428
10,0.097,0.9667,3.7699,0.468
10,0.0896,0.9707,3.9188,0.4
10,0.1567,0.948,5.1281,0.368
10,0.1967,0.9387,6.6247,0.32
10,0.2107,0.9307,6.7927,0.32
10,0.0745,0.9813,3.1563,0.46
10,0.0622,0.9813,4.1282,0.436
10,0.1369,0.956,3.985,0.408
10,0.1205,0.9653,4.2817,0.44
10,0.0796,0.9733,4.2769,0.452
10,0.0452,0.9827,3.8622,0.448
10,0.0535,0.984,4.908,0.348
10,0.048,0.984,3.836,0.404
10,0.099,0.968,5.0296,0.38
10,0.1156,0.9573,3.9529,0.444
10,0.1149,0.9627,4.6154,0.432
10,0.0632,0.98,3.5312,0.476
10,0.0454,0.9867,4.0284,0.42
10,0.0647,0.9773,3.2367,0.496
10,0.0827,0.968,4.0084,0.48
10,0.0611,0.9773,3.9404,0.452
10,0.0631,0.976,3.3388,0.456
10,0.0609,0.98,3.8596,0.46
10,0.0627,0.976,2.9233,0.524
10,0.0987,0.96,3.892,0.436
10,0.0707,0.9733,4.0169,0.46
10,0.0503,0.9827,4.0391,0.448
