Time,Loss,Accuracy,valLoss,valAccuracy
10,2.3238,0.1893,2.4309,0.1
6,2.1967,0.244,2.7809,0.1
6,2.0305,0.2827,3.2332,0.1
6,1.9154,0.3133,3.4069,0.1
6,1.8695,0.3373,4.1962,0.1
6,1.8022,0.3507,4.7465,0.1
6,1.6596,0.4253,5.1895,0.1
6,1.5234,0.4827,4.1176,0.1
6,1.4446,0.4947,3.6966,0.176
6,1.4314,0.5307,2.7125,0.324
6,1.3177,0.548,2.0853,0.352
6,1.2946,0.5533,3.1153,0.292
6,1.2045,0.6,4.8546,0.184
6,1.0334,0.6293,3.6966,0.256
6,1.0686,0.6413,4.2183,0.248
6,1.0348,0.648,4.0322,0.256
6,0.9248,0.6813,2.4107,0.364
6,0.8064,0.732,6.3639,0.184
6,0.7785,0.736,3.6782,0.272
6,0.7246,0.7587,3.3374,0.388
6,0.7626,0.7453,2.8237,0.392
6,0.6777,0.768,2.7804,0.392
6,0.6393,0.7893,5.0181,0.308
6,0.5154,0.8387,3.7105,0.276
6,0.5247,0.8387,3.1884,0.376
6,0.549,0.8013,5.4147,0.256
6,0.4225,0.8653,4.6078,0.296
6,0.4535,0.844,2.9484,0.412
6,0.3865,0.8827,3.8886,0.388
6,0.3782,0.8773,5.1407,0.24
6,0.3251,0.896,3.5667,0.348
6,0.2827,0.908,3.706,0.296
6,0.3356,0.884,2.9482,0.4
6,0.3099,0.9053,2.936,0.412
6,0.3171,0.8893,3.1544,0.408
6,0.3043,0.9,3.9454,0.408
6,0.3031,0.9053,3.5127,0.34
6,0.2462,0.92,3.3193,0.4
6,0.2503,0.924,3.0623,0.412
6,0.3094,0.9053,2.7346,0.44
6,0.2892,0.9107,3.4339,0.388
6,0.2752,0.9053,3.0567,0.38
6,0.2196,0.9133,4.2628,0.336
6,0.2023,0.9427,3.9163,0.38
6,0.2486,0.9213,4.2836,0.348
6,0.2941,0.9093,2.9838,0.416
6,0.2224,0.9147,3.0387,0.456
6,0.1697,0.9453,3.2893,0.388
6,0.1856,0.9373,2.8875,0.376
6,0.2021,0.9333,2.9751,0.404
6,0.1965,0.936,4.6706,0.364
6,0.0955,0.9747,2.6794,0.472
6,0.1176,0.9613,3.4896,0.392
6,0.1428,0.952,2.7017,0.448
6,0.109,0.9667,2.879,0.468
6,0.1807,0.9453,3.7789,0.396
6,0.129,0.9587,2.5896,0.484
6,0.1348,0.9573,4.063,0.372
6,0.2294,0.9267,3.1796,0.416
6,0.2075,0.9413,3.3846,0.372
6,0.2213,0.9307,3.9429,0.356
6,0.2054,0.9253,3.2697,0.432
6,0.1623,0.9493,5.6349,0.3
6,0.1572,0.952,2.9875,0.436
6,0.1359,0.96,3.3618,0.412
6,0.1586,0.9493,2.8474,0.432
6,0.1714,0.952,3.0217,0.4
6,0.1688,0.94,3.0773,0.46
6,0.1596,0.94,3.5601,0.344
6,0.1694,0.9373,2.7068,0.464
6,0.1695,0.9347,3.6488,0.384
6,0.1544,0.94,2.9551,0.452
6,0.1165,0.9573,2.7437,0.468
6,0.0974,0.9733,3.2545,0.428
6,0.1063,0.9653,3.9296,0.424
6,0.1292,0.9533,3.5221,0.404
6,0.1241,0.9587,5.0933,0.332
6,0.1475,0.956,3.3141,0.464
6,0.1527,0.9453,3.3681,0.4
6,0.1765,0.9387,5.2086,0.356
6,0.1946,0.9347,4.5997,0.316
6,0.1825,0.9467,2.9896,0.424
6,0.1475,0.9547,2.9833,0.428
6,0.091,0.972,2.6354,0.48
6,0.0556,0.9813,3.051,0.456
6,0.0438,0.9853,3.2324,0.468
6,0.0927,0.9693,2.8696,0.456
6,0.0683,0.9747,2.7643,0.496
6,0.0396,0.9867,2.7229,0.46
6,0.0556,0.9853,2.6339,0.46
6,0.0671,0.976,2.9694,0.456
6,0.084,0.9693,3.0687,0.428
6,0.1015,0.964,3.7378,0.46
6,0.1575,0.9507,3.7448,0.46
6,0.1904,0.9307,4.8337,0.38
6,0.25,0.94,4.4037,0.348
6,0.2852,0.908,4.3927,0.384
6,0.2039,0.9453,3.5849,0.368
6,0.1604,0.9467,2.9675,0.412
6,0.1372,0.96,2.8204,0.436
