Time,Loss,Accuracy,valLoss,valAccuracy
19,3.1814,0.1693,2.4121,0.1
11,2.4528,0.1813,789.0916,0.1
11,2.2329,0.224,2.3926,0.144
11,2.0658,0.2707,3.1703,0.132
11,1.9987,0.3173,2.4428,0.156
11,1.8769,0.352,3.4281,0.272
11,1.8417,0.352,5.8644,0.232
11,1.7564,0.3973,15.8785,0.2
11,1.8419,0.3693,23.5338,0.136
11,1.8006,0.3853,23.175,0.28
11,1.6712,0.4227,2.9092,0.296
11,1.5975,0.4293,2.6674,0.348
11,1.5883,0.4227,2.6374,0.372
11,1.445,0.5053,4.1022,0.276
11,1.4726,0.4907,9.1586,0.368
11,1.4408,0.496,4.8328,0.236
11,1.3869,0.5013,2.0103,0.384
11,1.3557,0.5213,2.7793,0.304
11,1.3619,0.5413,2.6002,0.42
12,1.2852,0.556,2.3731,0.352
11,1.3292,0.5587,2.6423,0.38
11,1.1526,0.592,6.9919,0.188
11,1.1985,0.5933,9.9681,0.152
11,1.1918,0.5947,6.5141,0.252
11,1.0086,0.6467,3.973,0.28
11,1.1619,0.6147,5.5912,0.328
11,1.2401,0.5973,10.5961,0.276
11,1.071,0.6307,3.6055,0.348
11,0.8865,0.7053,2.059,0.436
11,0.9917,0.6427,8.195,0.312
11,0.8366,0.7267,2.204,0.464
11,0.7985,0.7307,2.4949,0.404
11,1.0677,0.6507,3.6605,0.288
11,0.875,0.696,2.7332,0.408
11,0.7247,0.7453,2.7306,0.332
11,0.7656,0.7453,20.0582,0.192
11,0.8725,0.7013,7.0376,0.24
11,0.9739,0.688,4.6009,0.304
11,0.7781,0.7173,3.2835,0.348
11,0.4996,0.8387,2.8098,0.468
11,0.443,0.8413,3.4532,0.328
11,0.3947,0.8747,3.6939,0.392
11,0.3529,0.8747,2.5084,0.456
11,0.2496,0.9093,2.4491,0.46
11,0.1954,0.94,2.9397,0.428
11,0.2071,0.9253,3.2818,0.412
11,0.3326,0.8933,2.5564,0.46
11,0.2143,0.9267,3.988,0.432
11,0.1896,0.932,3.6886,0.376
11,0.1326,0.96,2.5305,0.484
11,0.1374,0.9507,2.9296,0.44
11,0.1345,0.96,2.757,0.452
11,0.1285,0.9587,2.5964,0.492
11,0.1478,0.9533,2.381,0.508
11,0.1328,0.9587,3.7656,0.4
11,0.0865,0.9747,3.0093,0.456
11,0.0657,0.9813,3.3282,0.484
11,0.0788,0.9733,3.9539,0.36
11,0.0994,0.9653,5.4453,0.372
11,0.1461,0.96,4.6559,0.4
11,0.1132,0.9627,3.2822,0.448
11,0.0629,0.9827,4.3367,0.372
11,0.1107,0.9693,3.197,0.408
11,0.123,0.96,2.9786,0.448
11,0.1473,0.9573,3.439,0.416
11,0.1659,0.9427,3.3769,0.444
11,0.2132,0.948,4.7514,0.388
11,0.3494,0.9,4.5771,0.34
11,0.3827,0.884,5.3008,0.324
11,0.1059,0.968,3.7842,0.392
11,0.0709,0.9773,3.4315,0.416
11,0.1089,0.9707,3.5979,0.408
11,0.1278,0.964,2.9629,0.444
11,0.0918,0.9653,2.9596,0.448
11,0.1213,0.9493,3.0286,0.456
11,0.1359,0.96,3.6229,0.436
11,0.0967,0.968,2.9034,0.516
11,0.0512,0.984,2.8323,0.444
11,0.0323,0.9933,3.4083,0.456
11,0.0368,0.988,3.047,0.492
11,0.062,0.9827,3.2586,0.452
11,0.0531,0.984,3.2445,0.464
11,0.0418,0.9867,3.1597,0.488
11,0.0451,0.9893,3.0036,0.46
11,0.0416,0.9853,3.9195,0.452
11,0.031,0.992,2.939,0.504
11,0.0244,0.9933,3.1537,0.496
11,0.0334,0.988,3.1601,0.452
11,0.0537,0.9813,3.1333,0.444
11,0.2303,0.9293,7.316,0.328
11,0.3828,0.888,6.4211,0.3
11,0.4667,0.852,11.1772,0.228
11,0.2846,0.9147,4.306,0.376
11,0.1057,0.968,3.941,0.404
11,0.0683,0.9773,2.6402,0.464
11,0.0215,0.996,2.9132,0.48
11,0.0187,0.9947,2.9566,0.44
11,0.0185,0.996,2.5317,0.508
11,0.0175,0.9973,2.8125,0.496
11,0.019,0.9947,3.1812,0.468
