Time,Loss,Accuracy,valLoss,valAccuracy
14,3.411,0.1587,3.3019,0.104
6,2.4167,0.292,3.6394,0.1
6,2.192,0.344,5.6418,0.1
6,2.0118,0.364,3.9959,0.156
6,1.9822,0.3973,4.3137,0.184
6,1.6137,0.4707,3.4849,0.208
6,1.8344,0.4653,5.9173,0.136
6,1.4486,0.5267,9.6014,0.124
6,1.3673,0.5747,4.4067,0.248
6,1.3194,0.568,3.9427,0.248
6,0.954,0.6907,3.1674,0.316
6,0.9901,0.692,5.3853,0.232
6,1.0329,0.6693,5.5263,0.208
6,0.7989,0.74,3.7046,0.296
6,0.7841,0.7387,4.7548,0.292
6,0.5863,0.8067,4.1965,0.3
6,0.5226,0.832,4.0759,0.356
6,0.3831,0.8733,3.5739,0.336
6,0.4338,0.848,4.0935,0.34
6,0.4857,0.8427,3.6224,0.344
6,0.5175,0.828,5.0312,0.308
6,0.2801,0.9053,2.9861,0.384
6,0.4021,0.8733,5.7627,0.28
6,0.5804,0.82,3.4819,0.4
6,0.549,0.8333,6.5228,0.244
6,0.2933,0.908,4.895,0.364
6,0.1981,0.9413,3.5564,0.328
6,0.2025,0.936,4.3117,0.332
6,0.1819,0.9493,7.1026,0.244
6,0.2829,0.9107,5.3047,0.344
6,0.2747,0.9173,4.7709,0.344
6,0.3593,0.888,4.8497,0.268
6,0.3425,0.8987,3.6846,0.316
6,0.1982,0.9453,4.4237,0.328
6,0.1707,0.9453,3.6117,0.384
6,0.1624,0.948,4.7888,0.284
6,0.2731,0.9067,3.6997,0.328
6,0.2337,0.92,3.9203,0.34
6,0.1858,0.9307,4.0329,0.392
6,0.2348,0.9333,8.4146,0.248
6,0.202,0.94,4.0174,0.36
6,0.164,0.9507,3.9115,0.364
6,0.1658,0.9467,3.4142,0.384
6,0.1438,0.96,4.9236,0.324
6,0.1377,0.9547,3.5249,0.316
6,0.1594,0.9427,4.1046,0.356
6,0.195,0.9387,4.2933,0.348
6,0.1913,0.9453,3.8767,0.36
6,0.0986,0.9667,3.4666,0.328
6,0.0663,0.9773,4.3997,0.304
6,0.2626,0.916,4.5088,0.372
6,0.2221,0.936,5.0124,0.308
6,0.145,0.9467,3.9326,0.384
6,0.129,0.9667,4.5941,0.332
6,0.1386,0.9587,3.9972,0.34
6,0.0523,0.984,2.986,0.42
6,0.0702,0.9747,3.2108,0.384
6,0.1144,0.9667,3.8172,0.304
6,0.1624,0.956,3.3216,0.38
6,0.1989,0.9347,4.9469,0.32
6,0.2021,0.9347,4.6583,0.324
6,0.3404,0.9013,6.0105,0.3
6,0.242,0.9307,3.3229,0.4
6,0.1491,0.9533,3.6561,0.376
6,0.0961,0.972,3.2098,0.4
6,0.0757,0.9733,3.3623,0.404
6,0.0507,0.984,5.237,0.26
6,0.1041,0.96,3.6934,0.376
6,0.103,0.9667,3.7173,0.328
6,0.059,0.9813,3.385,0.368
6,0.1285,0.9627,4.435,0.324
6,0.166,0.944,4.1789,0.372
6,0.1498,0.9533,4.4601,0.36
6,0.1996,0.948,4.824,0.348
6,0.2022,0.936,4.7644,0.352
6,0.1021,0.9667,4.1124,0.408
6,0.1054,0.964,4.3372,0.388
6,0.0895,0.9733,3.3825,0.396
6,0.0404,0.9867,3.0986,0.4
6,0.0171,0.9947,2.8298,0.456
6,0.0085,0.9947,2.9929,0.456
6,0.0106,0.9947,2.9501,0.432
6,0.007,0.996,2.9192,0.456
6,0.0077,0.996,2.9104,0.428
6,0.0126,0.996,3.3027,0.368
6,0.0087,0.9947,3.1221,0.412
6,0.0079,0.9973,3.18,0.416
6,0.0122,0.9933,3.7687,0.344
6,0.0207,0.992,3.4996,0.384
6,0.0124,0.9933,3.2758,0.424
6,0.1002,0.9707,11.1801,0.208
6,1.0561,0.744,77.3679,0.104
6,0.6522,0.8147,7.503,0.248
6,0.2993,0.9107,3.6013,0.344
6,0.0619,0.9853,2.6658,0.432
6,0.0447,0.984,2.7461,0.416
6,0.0227,0.9947,2.4454,0.452
6,0.0194,0.992,2.786,0.432
6,0.0192,0.9947,2.7193,0.432
6,0.0095,0.9973,2.6307,0.452
