Time,Loss,Accuracy,valLoss,valAccuracy
6,2.5129,0.156,2.4557,0.1
3,2.2657,0.2107,2.9197,0.1
3,2.06,0.272,3.5314,0.1
3,1.911,0.3493,3.8276,0.1
3,1.8342,0.3653,4.4831,0.1
3,1.7877,0.3627,4.5827,0.1
3,1.5772,0.464,3.6574,0.1
3,1.5676,0.4467,3.7906,0.144
3,1.4682,0.492,2.7145,0.176
3,1.3837,0.516,2.3815,0.252
3,1.4077,0.4867,2.6367,0.296
3,1.3531,0.5267,2.5342,0.356
3,1.2857,0.556,4.1817,0.24
3,1.1796,0.5987,4.9619,0.2
3,1.1543,0.6227,3.6389,0.208
3,1.1669,0.6093,4.1503,0.224
3,1.0457,0.632,3.3893,0.244
3,0.9781,0.668,3.0766,0.316
3,0.9438,0.6853,2.7953,0.356
3,0.8384,0.704,4.1586,0.292
3,0.8657,0.7067,4.0641,0.3
3,0.7031,0.7707,2.8016,0.372
3,0.6815,0.7707,3.81,0.308
3,0.6739,0.7787,3.0702,0.3
3,0.7201,0.76,2.7595,0.348
3,0.5887,0.8187,2.7169,0.352
3,0.6027,0.8067,2.8548,0.348
3,0.5618,0.812,2.7404,0.376
3,0.4801,0.8573,3.2418,0.324
3,0.3596,0.8827,3.0036,0.392
3,0.4661,0.868,2.8402,0.352
3,0.4323,0.8733,3.1414,0.364
3,0.3611,0.8867,3.3119,0.316
3,0.4092,0.8627,3.6156,0.344
3,0.4127,0.8653,3.3049,0.308
3,0.4054,0.88,2.8518,0.356
3,0.3679,0.8827,3.1957,0.36
3,0.3044,0.8973,2.818,0.4
3,0.2692,0.916,3.0043,0.348
3,0.2589,0.924,2.9561,0.408
3,0.3523,0.8907,3.377,0.416
3,0.3586,0.888,3.9489,0.3
3,0.2295,0.916,2.8848,0.4
3,0.2015,0.9373,3.1789,0.384
3,0.1557,0.9467,3.299,0.368
3,0.257,0.9227,3.6666,0.368
3,0.2163,0.9307,3.3049,0.336
3,0.3037,0.9,3.6368,0.32
3,0.2469,0.92,3.3203,0.4
3,0.2476,0.9227,4.345,0.332
3,0.2766,0.9067,3.7822,0.372
3,0.2401,0.9253,3.448,0.388
3,0.2755,0.9173,3.6397,0.324
3,0.2534,0.924,3.0796,0.384
3,0.1417,0.9507,3.2099,0.404
3,0.2304,0.9227,3.5069,0.324
3,0.3276,0.8947,3.7784,0.292
3,0.2782,0.9013,4.391,0.292
3,0.2098,0.928,3.8162,0.36
3,0.1605,0.9507,3.6817,0.36
3,0.1248,0.9627,3.2323,0.368
3,0.1309,0.9587,3.7362,0.356
3,0.1936,0.9387,3.4092,0.384
3,0.2864,0.9187,3.6776,0.348
3,0.1933,0.932,3.4599,0.364
3,0.2509,0.9267,3.1867,0.404
3,0.2155,0.9293,3.4081,0.4
3,0.2614,0.924,3.4726,0.344
3,0.2508,0.9267,3.0219,0.38
3,0.2093,0.9267,3.2862,0.38
3,0.228,0.9213,3.5249,0.336
3,0.2922,0.9013,4.5216,0.328
3,0.2102,0.932,3.4768,0.316
3,0.2118,0.9373,4.0496,0.332
3,0.1813,0.9427,3.065,0.416
3,0.097,0.9667,3.4599,0.408
3,0.123,0.9533,3.1146,0.424
3,0.1552,0.9493,3.6866,0.352
3,0.1275,0.952,2.9662,0.384
3,0.1852,0.94,4.1127,0.308
3,0.1954,0.94,3.431,0.384
3,0.1301,0.9573,3.7141,0.388
3,0.0973,0.9653,4.0166,0.328
3,0.1939,0.936,3.5678,0.408
3,0.1608,0.9507,3.4889,0.332
3,0.1541,0.9467,3.9201,0.328
3,0.1525,0.9467,3.7792,0.312
3,0.1647,0.9533,3.6756,0.348
3,0.1171,0.9627,3.2978,0.392
3,0.1086,0.9627,3.2924,0.392
3,0.1746,0.944,3.2285,0.396
3,0.2129,0.9307,3.921,0.336
3,0.1536,0.9413,3.6572,0.348
3,0.1212,0.9573,4.1715,0.32
3,0.1301,0.952,3.5741,0.332
3,0.1148,0.9587,3.5658,0.364
3,0.1242,0.9667,3.0174,0.388
3,0.0761,0.9747,3.3777,0.36
3,0.0906,0.9667,3.5092,0.328
3,0.1418,0.9547,4.4187,0.332
