Time,Loss,Accuracy,valLoss,valAccuracy
13,2.527,0.1827,6.3586,0.1
6,2.1584,0.244,3.334,0.16
6,2.0077,0.3133,3.3448,0.2
6,1.7708,0.3907,2.9069,0.172
6,1.6575,0.4493,3.0847,0.216
6,1.5991,0.4467,3.6124,0.232
6,1.5229,0.496,3.4498,0.26
6,1.3545,0.5293,3.2502,0.272
6,1.235,0.5773,3.0269,0.284
6,1.0759,0.6373,3.1358,0.256
6,0.9614,0.664,5.8788,0.22
6,0.9524,0.68,3.5524,0.296
6,0.7621,0.7533,4.8543,0.208
6,0.6182,0.796,4.5319,0.26
6,0.5309,0.8187,6.2844,0.176
6,0.4461,0.852,2.404,0.4
6,0.4122,0.86,3.0317,0.376
6,0.3911,0.8653,4.0169,0.288
6,0.3952,0.872,5.2793,0.284
6,0.2845,0.8893,4.3468,0.292
6,0.2318,0.916,3.2531,0.344
6,0.1332,0.9653,3.9566,0.336
5,0.2022,0.9373,3.4675,0.372
6,0.2645,0.912,3.5373,0.356
6,0.1667,0.948,3.8718,0.364
6,0.1454,0.96,2.7332,0.4
6,0.1692,0.94,4.606,0.292
6,0.2512,0.9147,4.9961,0.3
6,0.2058,0.944,4.4003,0.336
6,0.1999,0.9253,3.7508,0.404
6,0.2215,0.924,4.15,0.368
6,0.1799,0.948,3.6913,0.392
6,0.1163,0.9693,3.34,0.432
6,0.0807,0.9747,3.5648,0.376
6,0.1396,0.96,3.6923,0.348
6,0.1157,0.9573,7.5837,0.228
6,0.113,0.9707,4.3419,0.336
6,0.1296,0.956,5.0069,0.32
6,0.1244,0.96,3.0772,0.432
6,0.11,0.96,4.7273,0.336
6,0.0967,0.972,3.3344,0.396
6,0.13,0.9547,3.6742,0.388
6,0.0742,0.9733,3.787,0.416
6,0.1538,0.9467,3.8804,0.372
6,0.167,0.94,3.8466,0.38
6,0.1461,0.9467,3.7006,0.396
6,0.1189,0.956,4.5563,0.372
6,0.1404,0.9573,3.9606,0.36
6,0.1949,0.936,4.6695,0.32
6,0.1908,0.9453,3.579,0.384
6,0.1175,0.9507,3.8387,0.36
6,0.1052,0.9667,3.8554,0.372
6,0.0951,0.968,4.6955,0.36
6,0.086,0.976,3.9162,0.368
6,0.1109,0.9627,3.8944,0.356
6,0.1174,0.9653,3.9192,0.372
6,0.0519,0.9867,3.5461,0.396
6,0.0675,0.9747,3.9471,0.372
6,0.1857,0.9413,4.7299,0.324
6,0.184,0.9307,5.0512,0.32
6,0.2505,0.9307,5.7208,0.332
6,0.1495,0.9427,4.176,0.356
6,0.1149,0.9653,4.7468,0.344
6,0.1264,0.964,3.5482,0.4
6,0.0986,0.9693,4.1739,0.384
6,0.1201,0.9653,4.4449,0.356
6,0.1116,0.9627,4.2898,0.344
6,0.0644,0.98,3.3436,0.396
6,0.0523,0.984,3.908,0.404
6,0.0558,0.9827,3.6279,0.392
6,0.0559,0.9787,3.5663,0.336
6,0.0641,0.9787,3.5909,0.404
6,0.0377,0.988,3.4088,0.412
6,0.0251,0.9907,2.9833,0.432
6,0.057,0.98,4.2066,0.336
6,0.0531,0.98,4.0716,0.408
6,0.0633,0.9813,4.3798,0.336
6,0.1546,0.956,5.267,0.312
6,0.127,0.96,5.908,0.272
6,0.1844,0.9387,6.2726,0.332
6,0.1849,0.9507,4.08,0.352
6,0.092,0.9653,4.4084,0.328
6,0.0935,0.968,4.7053,0.324
7,0.1348,0.9587,5.8648,0.352
6,0.1036,0.964,4.6758,0.352
6,0.0627,0.9827,4.6069,0.316
6,0.0336,0.988,3.9968,0.392
6,0.0146,0.996,3.9772,0.392
6,0.0137,0.9947,3.4892,0.432
6,0.014,0.9933,3.6724,0.416
6,0.011,0.996,3.8214,0.404
6,0.0084,0.9973,3.5109,0.432
6,0.0163,0.992,4.1019,0.372
6,0.0086,0.9973,3.5741,0.392
6,0.0176,0.992,3.6864,0.448
6,0.0163,0.9933,4.271,0.356
6,0.0168,0.9933,4.4863,0.36
6,0.0273,0.9907,4.2121,0.372
6,0.0906,0.9787,5.2245,0.308
6,0.1611,0.952,5.0492,0.356
