Time,Loss,Accuracy,valLoss,valAccuracy
11,3.5366,0.1373,5.7117,0.1
4,2.5321,0.22,3.6936,0.1
4,2.426,0.2707,4.0536,0.1
4,2.2629,0.3507,8.1245,0.1
4,1.807,0.4333,2.8845,0.208
4,1.9168,0.4307,4.0581,0.196
4,1.5839,0.516,2.9155,0.288
4,1.4123,0.5427,3.9667,0.208
4,1.3099,0.5893,4.4449,0.292
4,1.2457,0.6187,3.4157,0.264
4,1.2939,0.6293,3.6156,0.336
4,0.7628,0.7493,3.7688,0.268
4,0.8645,0.748,5.2156,0.256
4,0.9003,0.7467,4.4794,0.252
4,0.6644,0.8053,4.9607,0.324
4,0.6866,0.7747,3.5826,0.272
4,0.4874,0.844,3.862,0.28
4,0.3833,0.8693,3.5931,0.292
4,0.48,0.864,4.1751,0.288
4,0.6068,0.8133,4.2747,0.304
4,0.5661,0.8373,4.4719,0.324
4,0.3761,0.872,3.6518,0.304
4,0.3103,0.9187,4.2648,0.296
4,0.2917,0.9173,4.2921,0.288
4,0.3039,0.912,4.5825,0.268
4,0.4232,0.884,4.2457,0.296
4,0.339,0.9093,3.7345,0.292
4,0.3149,0.9093,4.4501,0.268
4,0.2569,0.9147,4.8027,0.248
4,0.2524,0.924,4.0884,0.308
4,0.6369,0.852,17.9766,0.112
4,0.6557,0.832,4.3575,0.304
4,0.3438,0.892,3.5876,0.292
4,0.1785,0.952,4.0417,0.28
4,0.1154,0.9667,3.0989,0.32
4,0.2851,0.912,4.3799,0.272
4,0.3301,0.904,4.1772,0.292
4,0.2183,0.9373,3.4758,0.32
4,0.1373,0.9613,3.3554,0.332
4,0.1394,0.9547,3.3116,0.332
4,0.1925,0.948,3.654,0.364
4,0.2094,0.9267,3.3242,0.348
4,0.2822,0.9173,3.8875,0.304
4,0.2353,0.9347,3.5723,0.34
4,0.2591,0.9253,5.4859,0.264
4,0.2268,0.9333,4.3015,0.36
4,0.3656,0.8947,3.9853,0.344
4,0.3821,0.9,4.5926,0.252
4,0.2468,0.9293,3.3623,0.268
4,0.2346,0.9333,3.6644,0.3
4,0.444,0.888,5.6438,0.312
4,0.6964,0.8733,13.7125,0.176
4,0.8318,0.82,6.3046,0.22
4,0.3393,0.8973,3.5705,0.284
4,0.2058,0.9347,3.5843,0.316
4,0.1034,0.9693,2.7911,0.388
4,0.0361,0.9867,3.2341,0.368
4,0.0252,0.9907,3.1396,0.368
4,0.0108,0.9987,3.0251,0.408
4,0.0055,0.9973,3.0048,0.4
4,0.0108,0.9947,3.1025,0.38
4,0.0088,0.996,3.073,0.384
4,0.0064,0.9973,3.0358,0.392
4,0.009,0.9973,2.9962,0.388
4,0.0066,0.9947,3.0354,0.372
4,0.0049,0.9987,3.0954,0.372
4,0.0075,0.9987,3.1534,0.38
4,0.0124,0.9933,3.584,0.328
4,0.0502,0.988,3.474,0.36
4,0.3083,0.908,5.1812,0.236
4,2.1885,0.672,888.5649,0.1
4,3.5599,0.1387,104.5267,0.1
4,2.7344,0.1427,6.9846,0.1
4,2.4423,0.184,25.8994,0.116
4,2.4114,0.2013,3.7384,0.112
4,2.1685,0.2533,4.5958,0.148
4,2.0371,0.3107,2.519,0.216
4,1.7846,0.412,1.9291,0.304
4,1.4686,0.484,2.0166,0.288
4,1.222,0.6067,2.129,0.32
4,0.9801,0.688,2.0657,0.336
4,0.7047,0.748,2.6256,0.316
4,0.5136,0.8373,2.4194,0.332
4,0.4165,0.8733,2.8612,0.292
4,0.3542,0.888,3.5098,0.284
4,0.2561,0.9173,3.2915,0.324
4,0.147,0.9587,2.9018,0.336
4,0.1322,0.9613,3.1561,0.336
4,0.1785,0.948,2.8958,0.336
4,0.1356,0.9573,3.4503,0.312
4,0.1195,0.96,3.4618,0.36
4,0.104,0.9667,3.4668,0.308
4,0.1026,0.9667,3.3599,0.324
4,0.0997,0.976,3.6071,0.28
4,0.1382,0.9547,3.9313,0.3
4,0.0833,0.9787,3.7438,0.268
4,0.0899,0.9693,3.4161,0.316
4,0.0682,0.9733,3.3367,0.364
4,0.0711,0.976,3.6216,0.296
4,0.0602,0.9787,3.5961,0.316
