Time,Loss,Accuracy,valLoss,valAccuracy
5,2.9714,0.1293,2.308,0.1
2,2.4409,0.1573,2.3197,0.1
2,2.2776,0.212,2.3238,0.1
2,2.1214,0.2493,2.3644,0.1
2,2.097,0.2907,2.3772,0.1
2,2.0403,0.3107,2.4025,0.1
2,1.8764,0.3853,2.5224,0.132
2,1.8111,0.3987,2.7251,0.092
2,1.7181,0.4173,2.9202,0.14
2,1.6586,0.4587,2.7399,0.196
2,1.6939,0.4533,2.7917,0.212
2,1.4656,0.512,3.9236,0.18
2,1.4741,0.5133,3.2263,0.208
2,1.3178,0.5533,2.9909,0.2
2,1.3374,0.568,3.2237,0.228
2,1.2135,0.6213,4.0392,0.22
2,1.2331,0.596,3.0041,0.252
2,1.0753,0.6413,2.8872,0.268
2,1.104,0.6373,3.7294,0.192
2,1.0302,0.6813,3.48,0.196
2,0.8476,0.732,4.5672,0.192
2,0.9159,0.716,2.8412,0.304
2,0.9351,0.7053,3.3208,0.276
2,0.8903,0.7213,3.448,0.252
2,0.8822,0.72,3.585,0.22
2,0.7549,0.7627,3.076,0.28
2,0.7374,0.7627,2.9557,0.308
2,0.8523,0.7267,3.3161,0.256
2,0.7709,0.7453,3.8013,0.276
2,0.7371,0.768,3.2869,0.228
2,0.7734,0.7653,3.5587,0.232
2,0.825,0.7413,3.2819,0.264
2,0.7311,0.7747,4.8006,0.216
2,0.8565,0.7333,3.3158,0.304
2,0.66,0.792,3.3141,0.272
2,0.7073,0.7893,3.4456,0.236
2,0.6964,0.7867,3.5412,0.24
2,0.5357,0.8373,3.0147,0.292
2,0.4727,0.856,3.0233,0.272
2,0.5144,0.848,3.0976,0.272
2,0.6112,0.8107,3.2225,0.304
2,0.6104,0.804,3.1929,0.248
2,0.4233,0.8653,2.6895,0.34
2,0.4794,0.856,4.3378,0.244
2,0.5585,0.8413,3.5533,0.284
2,0.5343,0.8293,3.0424,0.284
2,0.5405,0.8413,3.3105,0.292
2,0.5423,0.8373,2.9731,0.32
2,0.4013,0.8693,2.892,0.324
2,0.3448,0.8933,2.8221,0.324
2,0.3358,0.908,3.0753,0.316
2,0.3708,0.8747,2.9383,0.256
2,0.3828,0.884,2.9022,0.312
2,0.4561,0.8587,3.0528,0.272
2,0.5286,0.8333,2.7497,0.324
2,0.3859,0.8907,3.4904,0.276
2,0.4502,0.8667,2.9152,0.312
2,0.3533,0.8853,3.085,0.324
2,0.2395,0.9267,2.9274,0.308
2,0.2258,0.9387,3.1,0.324
2,0.3666,0.8973,3.0829,0.324
2,0.4902,0.8533,3.2589,0.316
2,0.4267,0.8653,3.2168,0.288
2,0.3446,0.8947,3.2769,0.28
2,0.2973,0.908,2.9424,0.292
2,0.3867,0.8947,3.087,0.248
2,0.2679,0.9173,3.3331,0.264
2,0.2798,0.9133,3.1567,0.3
2,0.3253,0.908,2.9862,0.288
2,0.2958,0.9107,3.0288,0.324
2,0.3801,0.8867,3.611,0.272
2,0.4934,0.836,3.1475,0.312
2,0.2779,0.912,3.1074,0.388
2,0.2633,0.9107,3.3354,0.264
2,0.2805,0.916,3.4278,0.268
2,0.2581,0.9267,3.5399,0.276
2,0.2361,0.9293,3.1841,0.312
2,0.301,0.9133,3.5531,0.264
2,0.3917,0.8893,3.3021,0.292
2,0.4044,0.8733,3.2887,0.296
2,0.2482,0.928,2.8277,0.324
2,0.2775,0.92,3.0627,0.3
2,0.3966,0.8773,3.4709,0.256
2,0.3032,0.9,3.1378,0.312
2,0.2455,0.9387,2.7086,0.324
2,0.197,0.944,2.437,0.396
2,0.1977,0.9387,2.8804,0.3
2,0.2751,0.9213,3.1639,0.324
2,0.2318,0.932,3.1539,0.316
2,0.3001,0.9093,3.3351,0.264
2,0.2568,0.9253,2.9542,0.332
2,0.2303,0.932,2.7739,0.312
2,0.2969,0.9107,3.0092,0.292
2,0.2249,0.9293,3.3283,0.252
2,0.2208,0.9427,3.1905,0.272
2,0.2297,0.932,2.9068,0.316
2,0.1509,0.9627,2.9057,0.32
2,0.1786,0.9453,3.2146,0.336
2,0.2154,0.9427,3.0191,0.296
2,0.1608,0.96,3.3542,0.284
