Time,Loss,Accuracy,valLoss,valAccuracy
11,2.4866,0.148,3.7298,0.1
4,1.9978,0.3027,2.9895,0.148
4,1.8046,0.3787,3.8839,0.14
4,1.7188,0.4133,9.9768,0.1
4,1.5023,0.488,3.1441,0.22
4,1.3963,0.5387,4.3586,0.2
4,1.172,0.6173,2.4943,0.3
4,1.0744,0.652,4.7835,0.216
4,0.827,0.7133,4.2417,0.272
4,0.7096,0.7867,4.2592,0.228
4,0.6639,0.7827,2.7843,0.356
4,0.5902,0.8173,3.0151,0.34
4,0.3584,0.8827,2.8956,0.356
4,0.4157,0.8587,3.9402,0.32
4,0.3947,0.872,3.529,0.296
4,0.3364,0.8813,5.7856,0.256
4,0.3161,0.8893,3.7582,0.324
4,0.3613,0.9,3.0493,0.428
4,0.374,0.8947,3.1301,0.332
4,0.1834,0.9347,2.9591,0.336
4,0.1706,0.9387,3.4708,0.296
4,0.2431,0.92,3.3155,0.404
4,0.1361,0.9587,3.5322,0.36
4,0.1017,0.968,3.1035,0.356
4,0.2099,0.9267,3.5571,0.332
4,0.2927,0.9027,5.0764,0.244
4,0.2084,0.9387,3.1891,0.392
4,0.1426,0.9493,3.5477,0.388
4,0.1793,0.9427,3.9412,0.368
4,0.2204,0.94,3.9051,0.352
4,0.1586,0.9467,2.8805,0.4
4,0.1011,0.964,3.6032,0.304
4,0.1705,0.9493,3.4945,0.368
4,0.0989,0.9707,3.0425,0.388
4,0.1271,0.964,2.8566,0.356
4,0.0837,0.9733,2.6164,0.368
4,0.0461,0.9867,2.7527,0.396
4,0.0274,0.9867,3.0557,0.412
4,0.0192,0.9933,2.8873,0.396
4,0.0335,0.9907,3.2029,0.396
4,0.0441,0.988,3.2283,0.388
4,0.1893,0.9413,5.8819,0.244
4,0.4882,0.8493,4.5912,0.344
4,0.285,0.9213,4.2464,0.336
4,0.2114,0.928,3.8258,0.316
4,0.1872,0.94,4.3853,0.3
4,0.1035,0.9693,4.1162,0.372
4,0.0897,0.9747,3.5207,0.312
4,0.0448,0.9907,3.0479,0.38
4,0.0428,0.9853,3.5896,0.316
4,0.0405,0.9893,2.8888,0.42
4,0.0251,0.9893,3.3853,0.372
4,0.0734,0.9747,3.7959,0.352
4,0.1406,0.9587,3.5847,0.34
4,0.2243,0.9267,3.6967,0.336
4,0.2869,0.908,3.2595,0.412
4,0.1745,0.9413,3.9029,0.352
4,0.1727,0.952,5.6011,0.288
4,0.1827,0.9493,3.4259,0.344
4,0.0535,0.984,3.1667,0.38
4,0.0232,0.9933,3.1139,0.396
4,0.0602,0.9773,3.027,0.38
4,0.0486,0.9827,2.9262,0.38
4,0.0592,0.9813,3.3972,0.328
4,0.0381,0.9853,2.9763,0.404
4,0.0501,0.98,3.8885,0.324
4,0.0344,0.9853,3.8141,0.332
4,0.0499,0.9773,3.2333,0.392
4,0.0494,0.9787,3.3649,0.356
4,0.0803,0.968,3.4824,0.352
4,0.1482,0.9533,4.3014,0.292
4,0.183,0.956,4.3866,0.344
4,0.0876,0.9747,3.7931,0.384
4,0.0539,0.9867,3.1733,0.428
4,0.0808,0.968,4.0286,0.292
4,0.1307,0.9613,5.8458,0.244
4,0.178,0.9507,3.7755,0.364
4,0.1808,0.948,5.3836,0.272
4,0.089,0.9707,3.3809,0.38
4,0.0648,0.9827,3.2838,0.428
4,0.0488,0.9813,3.1088,0.404
4,0.0326,0.9893,3.0981,0.4
4,0.0569,0.98,3.4087,0.356
4,0.0685,0.9773,3.0077,0.396
4,0.0157,0.9947,3.1494,0.384
4,0.0114,0.9933,3.034,0.392
4,0.0401,0.9867,3.6649,0.32
4,0.1124,0.96,4.048,0.356
4,0.1098,0.964,4.1547,0.332
4,0.1102,0.968,4.1984,0.368
4,0.1085,0.968,3.6669,0.34
4,0.0439,0.9827,3.5416,0.4
4,0.0195,0.992,3.4042,0.376
4,0.0356,0.9853,3.3763,0.416
4,0.0304,0.9893,3.4527,0.412
4,0.0148,0.9933,3.566,0.36
4,0.0474,0.984,3.4679,0.408
4,0.1062,0.964,3.9176,0.372
4,0.0489,0.984,3.5709,0.376
4,0.0437,0.984,3.6707,0.376
