Time,Loss,Accuracy,valLoss,valAccuracy
9,2.4232,0.1657,2.4169,0.1
6,2.2791,0.2157,2.7721,0.1
6,2.1523,0.2614,3.2826,0.1
6,2.0122,0.3129,3.3245,0.1
6,1.8917,0.3486,3.7328,0.1
6,1.7377,0.3943,4.1017,0.1
7,1.6724,0.4386,4.8267,0.1
6,1.5702,0.4543,4.2884,0.1
6,1.4971,0.4771,3.697,0.17
6,1.3589,0.5157,3.1202,0.2133
7,1.3089,0.5529,2.5542,0.36
6,1.1124,0.6271,2.9153,0.3033
6,0.9548,0.6743,3.4357,0.27
6,0.9439,0.6929,3.5959,0.2633
6,0.8703,0.7,4.3243,0.23
6,0.6874,0.7686,3.5757,0.28
6,0.6744,0.7929,4.4541,0.3167
6,0.544,0.81,6.5853,0.2067
6,0.4351,0.8471,4.8937,0.19
6,0.3549,0.8871,4.384,0.3
6,0.292,0.91,3.3551,0.3933
6,0.4543,0.85,3.2164,0.35
6,0.3056,0.9071,4.1163,0.2867
6,0.2067,0.9457,2.9841,0.4033
6,0.2172,0.9314,3.1879,0.3567
6,0.3254,0.8929,4.2003,0.2933
7,0.3633,0.8829,4.3275,0.2667
6,0.3593,0.8757,5.1804,0.25
6,0.2897,0.91,3.4413,0.33
6,0.1964,0.9371,3.4457,0.34
7,0.2041,0.9386,3.8575,0.3233
6,0.208,0.9343,3.7749,0.3167
6,0.2075,0.9243,3.5297,0.3633
6,0.1434,0.9514,3.5668,0.3533
6,0.1718,0.9414,3.6292,0.34
6,0.1695,0.9571,4.0134,0.3533
6,0.1637,0.9471,3.5403,0.3967
6,0.1703,0.9357,5.3296,0.3033
6,0.1664,0.9543,3.3034,0.3867
6,0.2967,0.9043,4.1157,0.3867
6,0.2205,0.9229,4.7178,0.3033
6,0.2276,0.9229,4.3087,0.3467
6,0.1003,0.9686,3.1789,0.4133
6,0.0755,0.9743,3.2576,0.4
6,0.0699,0.9757,3.2205,0.39
7,0.1255,0.9557,3.2126,0.3967
6,0.1502,0.9429,4.3236,0.3333
6,0.1347,0.9514,4.7611,0.3367
6,0.1307,0.96,4.0536,0.3333
7,0.1392,0.9614,3.6062,0.38
6,0.1229,0.9614,3.4729,0.3833
6,0.1077,0.9643,3.7739,0.39
6,0.2524,0.9157,4.7181,0.3367
6,0.215,0.9257,5.7762,0.24
6,0.2795,0.91,5.1284,0.3133
6,0.2574,0.9157,4.6813,0.3333
6,0.1587,0.9486,4.3068,0.3467
6,0.1245,0.9586,3.4347,0.4033
6,0.0728,0.9814,3.0177,0.4233
6,0.0489,0.9829,3.2763,0.4167
6,0.0496,0.9857,3.5617,0.41
6,0.1099,0.9714,3.5287,0.4267
6,0.0787,0.9757,3.8248,0.3933
6,0.1146,0.9614,5.1072,0.3133
6,0.14,0.9557,3.6582,0.37
6,0.1367,0.9671,3.6021,0.3833
6,0.0798,0.9686,3.2846,0.46
6,0.1171,0.9471,4.6879,0.3467
6,0.1372,0.96,4.2583,0.3367
6,0.1125,0.9614,4.1323,0.34
6,0.1331,0.96,4.6898,0.3467
6,0.1239,0.96,5.1918,0.35
6,0.1093,0.9586,3.3094,0.4267
6,0.0857,0.9714,4.1429,0.37
6,0.1048,0.9671,3.9563,0.3867
6,0.1525,0.96,4.5167,0.3633
6,0.0763,0.9714,3.8965,0.4233
6,0.0719,0.9771,4.2693,0.4033
6,0.0922,0.9686,4.1893,0.3767
6,0.164,0.9529,4.1067,0.3633
6,0.1364,0.9571,4.6095,0.3633
6,0.095,0.9743,3.7221,0.39
6,0.0894,0.9729,4.0968,0.4
6,0.1301,0.9614,5.9295,0.3133
7,0.136,0.9486,4.0639,0.38
6,0.0821,0.9743,4.1116,0.3167
6,0.1414,0.9557,4.8908,0.33
6,0.0844,0.9714,4.4403,0.3633
7,0.0997,0.9714,4.0484,0.3767
6,0.0539,0.9914,3.2396,0.3967
6,0.0418,0.9814,3.4328,0.41
6,0.0455,0.9886,3.2556,0.4333
6,0.0577,0.9829,4.8126,0.3433
6,0.0625,0.9829,3.8964,0.3833
6,0.0381,0.9857,3.589,0.4133
6,0.0482,0.98,3.7728,0.4133
6,0.1177,0.9671,3.8316,0.3867
6,0.1106,0.9657,5.1337,0.3433
6,0.1351,0.9643,4.9077,0.34
6,0.0702,0.9786,4.3723,0.3867
