Time,Loss,Accuracy,valLoss,valAccuracy
666,3.1603,0.1314,2.4114,0.1
10,2.5023,0.1543,2.701,0.1
10,2.3955,0.17,2.3583,0.2
11,2.2963,0.2086,14.5864,0.08
11,2.3152,0.1986,15.1529,0.14
11,2.1814,0.2186,2.8521,0.1333
11,2.1218,0.2686,2.1267,0.26
11,2.24,0.2386,3.5456,0.1433
10,2.2385,0.2443,29.2202,0.1267
11,2.1882,0.2514,11.4999,0.1467
11,2.1778,0.2429,2.6579,0.1233
11,2.1496,0.2686,2.424,0.2033
11,2.1343,0.2329,6.6848,0.13
11,2.138,0.2414,4.2199,0.15
11,2.09,0.2714,7.3524,0.1833
11,2.1029,0.2729,2.2432,0.1967
10,2.2308,0.2529,3.3016,0.1133
10,2.1485,0.2586,15.4806,0.1033
10,2.0797,0.2771,11.4273,0.1467
10,2.023,0.3129,9.8889,0.16
11,2,0.3029,4.5786,0.1567
11,2.0842,0.2686,2.9394,0.15
11,1.9975,0.3171,2.1145,0.2467
11,1.9431,0.3286,2.1019,0.2533
11,1.8758,0.3414,4.4273,0.22
11,1.8957,0.3543,3.553,0.1633
11,1.8911,0.3571,2.4967,0.25
11,1.8489,0.3714,4.1041,0.2067
11,1.8357,0.4114,5.0497,0.24
11,1.753,0.4086,2.5987,0.2867
11,1.7246,0.4086,6.3581,0.16
11,1.7265,0.4171,1.991,0.2967
11,1.6659,0.4186,3.8837,0.2467
10,1.5262,0.4786,2.3081,0.2833
10,1.6203,0.4429,6.7808,0.2133
11,1.5407,0.4757,3.5555,0.2533
11,1.5135,0.4786,3.4081,0.1867
11,1.4767,0.4871,2.7732,0.1967
11,1.382,0.5386,4.9701,0.1833
11,1.4052,0.5371,4.3705,0.21
11,1.3268,0.5243,2.1996,0.3333
11,1.2648,0.5414,4.3972,0.2
11,1.1809,0.5943,4.1813,0.22
11,1.0124,0.66,4.0244,0.2567
11,1.0303,0.6386,3.0129,0.2867
10,0.8425,0.7029,2.9474,0.3
11,0.8144,0.7214,3.1632,0.2833
11,0.6665,0.77,3.3387,0.3033
11,0.5756,0.8057,9.0814,0.2033
11,0.5367,0.8129,3.4922,0.2933
11,0.3783,0.8829,3.2213,0.34
11,0.3799,0.8757,3.8161,0.2867
11,0.286,0.9014,6.7253,0.24
11,0.3527,0.9014,3.6707,0.3133
12,0.4782,0.8371,3.2264,0.3167
11,0.2943,0.9014,3.5098,0.33
11,0.2147,0.9229,3.649,0.3067
11,0.2382,0.9043,3.871,0.3533
11,0.1889,0.9371,3.9645,0.3467
11,0.1897,0.9329,4.8316,0.2833
11,0.2451,0.9229,4.3305,0.3333
11,0.2818,0.9043,4.4278,0.31
11,0.2169,0.9229,4.2426,0.28
11,0.1417,0.9571,3.3338,0.3333
10,0.1252,0.9657,3.6397,0.3667
11,0.1254,0.9629,3.8097,0.3433
11,0.0919,0.97,3.724,0.3333
11,0.1498,0.9543,5.1807,0.2667
11,0.2594,0.91,4.3315,0.3533
10,0.2124,0.9171,3.8293,0.31
10,0.1,0.9657,3.6132,0.3167
11,0.0548,0.9843,3.8133,0.33
11,0.0436,0.9857,3.548,0.3767
11,0.0411,0.9914,3.8834,0.3633
11,0.0935,0.9714,4.2347,0.3667
11,0.3134,0.8971,5.1011,0.2867
11,0.1945,0.93,5.5722,0.2567
11,0.1873,0.9371,4.6591,0.3133
10,0.2719,0.9114,6.9316,0.2767
11,0.2093,0.9229,4.0414,0.3633
11,0.0901,0.96,4.5012,0.32
11,0.0771,0.9771,3.9548,0.3767
11,0.1849,0.9514,3.8647,0.31
11,0.1045,0.9614,4.0409,0.31
11,0.056,0.9871,4.3452,0.2933
11,0.0603,0.9843,4.8646,0.31
11,0.0645,0.9757,3.9784,0.33
11,0.0635,0.9843,5.7952,0.28
11,0.1223,0.9629,5.431,0.33
11,0.1443,0.9486,4.857,0.3433
11,0.1486,0.9571,5.8016,0.3033
11,0.1524,0.9486,5.2127,0.3067
11,0.0586,0.9814,4.2693,0.3433
11,0.0431,0.99,3.9808,0.3367
11,0.063,0.9786,4.6567,0.3267
11,0.0252,0.9943,4.2398,0.3367
11,0.014,0.9971,4.0613,0.3633
11,0.05,0.9843,5.4485,0.3167
11,0.0876,0.9714,4.1093,0.3667
11,0.0443,0.9886,4.0917,0.34
