Time,Loss,Accuracy,valLoss,valAccuracy
19,2.5007,0.2613,2.3146,0.2
13,1.7968,0.256,2.3144,0.204
13,1.7289,0.3093,1.5586,0.308
13,1.5606,0.352,6.054,0.236
13,1.5576,0.3413,1.5605,0.356
13,1.5144,0.3533,2.6362,0.276
13,1.4641,0.376,2.3713,0.372
13,1.4872,0.3707,2.003,0.288
13,1.5616,0.3467,11.6091,0.248
13,1.5402,0.332,4.3214,0.28
13,1.4691,0.3547,1.4811,0.312
13,1.4458,0.3933,1.707,0.368
13,1.4978,0.3693,5.9731,0.292
13,1.4312,0.3987,7.6524,0.316
13,1.4703,0.3853,1.4826,0.352
13,1.3967,0.44,6.4739,0.256
13,1.3772,0.42,1.6756,0.424
13,1.4737,0.4093,40.0832,0.212
13,1.4395,0.3667,13.7632,0.228
13,1.4689,0.3973,2.158,0.284
13,1.4052,0.4133,1.4415,0.404
13,1.3626,0.4627,1.5484,0.412
13,1.3729,0.428,2.4152,0.256
13,1.4615,0.4093,14.0637,0.244
13,1.3938,0.4213,7.7963,0.232
13,1.3958,0.4187,1.9356,0.376
13,1.364,0.428,1.4219,0.448
13,1.3252,0.4413,1.8568,0.388
13,1.3407,0.4653,1.8869,0.3
13,1.2771,0.472,1.5151,0.44
13,1.3277,0.4387,1.542,0.432
13,1.2934,0.4413,1.4228,0.42
13,1.2166,0.5133,1.7857,0.356
13,1.1814,0.508,1.6594,0.4
13,1.1559,0.528,1.3759,0.476
13,1.1644,0.5307,1.2883,0.432
13,1.0913,0.5453,1.4382,0.444
13,1.1058,0.5427,1.4237,0.416
13,1.0075,0.5933,1.4509,0.432
13,1.0418,0.592,1.7167,0.364
13,0.9885,0.6107,1.5768,0.396
13,0.914,0.6387,1.4261,0.472
13,0.9518,0.6173,2.0579,0.348
13,0.8932,0.6467,1.6017,0.404
13,0.7958,0.684,1.8913,0.424
13,1.0386,0.6,14.2357,0.236
13,0.9393,0.644,1.2967,0.5
13,0.7879,0.6907,1.7603,0.46
13,0.6911,0.7347,1.703,0.484
13,0.6229,0.7493,1.8753,0.42
13,0.5976,0.7867,2.2861,0.36
13,0.5638,0.788,2.6466,0.44
13,0.4808,0.8227,1.8239,0.488
13,0.4171,0.84,2.5336,0.436
13,0.3417,0.8667,2.6335,0.44
13,0.3183,0.8907,2.2352,0.452
13,0.3166,0.8907,2.4836,0.424
13,0.2275,0.9253,2.2084,0.452
13,0.3591,0.8787,2.5737,0.416
13,0.2194,0.9373,2.0442,0.484
13,0.1536,0.9467,2.173,0.46
13,0.177,0.944,2.353,0.468
13,0.1521,0.9467,2.6396,0.464
13,0.2465,0.924,2.484,0.476
13,0.1745,0.932,2.4671,0.448
13,0.1328,0.96,3.5283,0.428
13,0.1995,0.9307,2.3061,0.5
13,0.1128,0.9627,2.8182,0.424
13,0.206,0.932,2.9,0.448
13,0.1261,0.9493,4.4957,0.42
13,0.1622,0.9427,2.6046,0.52
13,0.0846,0.9707,2.5685,0.472
13,0.0589,0.984,2.4723,0.496
13,0.1142,0.9613,3.1635,0.42
13,0.1096,0.9653,3.0344,0.48
13,0.1892,0.94,2.6132,0.436
13,0.0456,0.988,2.9801,0.404
13,0.0562,0.9827,3.1724,0.444
13,0.1122,0.9587,3.8298,0.444
13,0.1221,0.968,2.6398,0.448
13,0.0502,0.9813,3.5765,0.476
13,0.0697,0.976,2.9874,0.436
13,0.1158,0.9627,2.9727,0.448
13,0.0468,0.9867,3.1203,0.448
13,0.0615,0.984,3.5436,0.444
13,0.0766,0.98,3.5724,0.484
13,0.1168,0.9547,3.6456,0.432
13,0.118,0.9627,3.2809,0.46
13,0.0374,0.988,2.9213,0.464
13,0.0495,0.984,3.3851,0.456
13,0.0318,0.9893,3.2388,0.5
13,0.0325,0.9907,3.6003,0.424
13,0.1197,0.9587,3.4907,0.484
13,0.1467,0.9507,3.319,0.396
13,0.0935,0.968,3.2606,0.456
13,0.079,0.9693,4.8393,0.34
13,0.0835,0.9733,3.0527,0.472
13,0.0459,0.98,2.9966,0.464
13,0.0361,0.9907,3.1724,0.444
13,0.0101,0.9987,2.9873,0.456
