Time,Loss,Accuracy,valLoss,valAccuracy
10,1.7487,0.2867,2.6434,0.2
7,1.5691,0.3373,2.4801,0.2
7,1.5028,0.3693,2.0912,0.2
7,1.4524,0.3813,2.0001,0.224
6,1.392,0.4413,1.7415,0.288
6,1.3413,0.4387,1.5833,0.412
7,1.2921,0.4827,1.9733,0.4
7,1.3238,0.4587,2.3042,0.348
7,1.2473,0.504,1.5929,0.428
6,1.1813,0.528,1.5581,0.436
6,1.1575,0.5267,1.5176,0.468
7,1.076,0.5693,1.4492,0.472
7,1.0755,0.5893,2.4368,0.408
7,1.0688,0.6067,2.5953,0.312
7,0.9924,0.632,1.6671,0.456
7,0.9645,0.628,2.0612,0.42
7,0.9318,0.6467,1.6605,0.5
6,0.8284,0.6947,2.1894,0.412
6,0.8243,0.7147,1.74,0.428
7,0.7889,0.7013,1.8962,0.44
6,0.7009,0.748,3.2469,0.384
6,0.8134,0.72,2.0689,0.452
7,0.7406,0.712,1.6858,0.488
7,0.5972,0.776,1.8776,0.5
6,0.6493,0.7533,1.9078,0.444
6,0.5146,0.804,1.9819,0.452
7,0.6734,0.7587,2.7287,0.4
6,0.5324,0.804,2.146,0.488
6,0.4374,0.84,2.3774,0.448
6,0.4009,0.8653,2.2488,0.452
7,0.4137,0.8507,1.861,0.532
6,0.3846,0.8773,1.9638,0.508
7,0.3752,0.864,2.2659,0.488
7,0.3396,0.8773,2.4093,0.46
7,0.3361,0.8827,2.032,0.456
6,0.3918,0.8653,2.2868,0.448
7,0.2923,0.896,1.898,0.496
7,0.2919,0.9,3.2494,0.392
7,0.2176,0.9307,2.1709,0.504
7,0.1984,0.9373,2.0107,0.548
7,0.2517,0.9013,2.0639,0.536
7,0.2194,0.9293,2.6001,0.472
6,0.1867,0.9453,2.2395,0.512
6,0.2464,0.9187,2.076,0.536
7,0.2087,0.9347,2.3057,0.432
7,0.1992,0.9227,2.5132,0.492
7,0.2415,0.9147,2.4358,0.42
7,0.2025,0.9347,2.466,0.496
7,0.169,0.9387,2.6262,0.472
7,0.1981,0.9267,2.4275,0.464
7,0.1503,0.9453,2.2541,0.504
7,0.1733,0.9453,2.5255,0.468
7,0.161,0.9467,2.8808,0.44
6,0.2001,0.92,2.5111,0.508
7,0.1648,0.9493,2.0403,0.552
6,0.1361,0.9467,2.491,0.5
6,0.0983,0.9613,2.0752,0.508
7,0.107,0.9667,3.6063,0.372
6,0.2162,0.924,2.9496,0.524
7,0.133,0.9547,2.0759,0.544
7,0.1004,0.9693,2.1853,0.516
6,0.1841,0.9387,2.7319,0.5
7,0.1516,0.9467,2.0981,0.512
7,0.0874,0.9693,2.1412,0.56
6,0.0963,0.9667,2.3342,0.508
6,0.1026,0.9627,2.2568,0.54
6,0.1366,0.9533,2.5078,0.468
7,0.0809,0.9747,2.337,0.564
6,0.1205,0.964,2.9649,0.476
7,0.144,0.9547,2.8173,0.456
7,0.1568,0.9467,2.393,0.488
7,0.081,0.9733,2.2139,0.52
7,0.0738,0.9773,2.7463,0.492
7,0.0732,0.9773,2.4951,0.512
6,0.0916,0.9627,2.5826,0.504
7,0.0968,0.9693,2.6461,0.504
6,0.1282,0.96,2.3032,0.512
6,0.0668,0.9813,2.6887,0.424
6,0.0704,0.9773,2.3354,0.512
7,0.0997,0.964,2.518,0.524
7,0.0849,0.976,2.4954,0.496
6,0.0921,0.972,2.9016,0.464
6,0.0893,0.964,3.6316,0.424
7,0.1228,0.956,2.7501,0.476
7,0.0638,0.9787,2.6659,0.484
6,0.0506,0.976,2.4843,0.512
7,0.1516,0.94,3.2199,0.432
6,0.0836,0.9707,2.3709,0.544
7,0.0943,0.964,2.692,0.5
6,0.0699,0.9733,2.4445,0.504
6,0.0935,0.9707,2.7174,0.488
7,0.0633,0.9813,2.1679,0.528
7,0.0715,0.9773,2.6422,0.508
7,0.0403,0.9867,2.9407,0.492
7,0.044,0.984,3.0362,0.46
7,0.0628,0.976,2.6906,0.472
7,0.0871,0.964,3.3671,0.488
7,0.0921,0.972,2.7647,0.484
7,0.0527,0.984,2.8848,0.52
7,0.0495,0.9867,2.7291,0.476
