Time,Loss,Accuracy,valLoss,valAccuracy
19,2.5226,0.228,2.2654,0.2
13,1.7344,0.3133,2.4344,0.2
13,1.621,0.316,1.5475,0.392
13,1.5978,0.312,4.1284,0.236
13,1.6558,0.324,43.7543,0.2
13,1.5968,0.3053,10.2777,0.264
13,1.5663,0.32,12.1405,0.248
13,1.5513,0.3293,1.803,0.284
13,1.5448,0.3187,1.7779,0.244
13,1.5427,0.3173,34.3662,0.212
13,1.5031,0.332,2.8345,0.304
13,1.4967,0.356,5.3524,0.268
13,1.4929,0.36,1.6872,0.356
13,1.4678,0.3733,4.1528,0.364
13,1.4208,0.4013,1.5547,0.36
13,1.4052,0.4173,2.7126,0.36
13,1.415,0.404,1.5962,0.392
13,1.3367,0.4333,11.3045,0.284
13,1.3497,0.444,2.735,0.32
13,1.3498,0.4413,519.0189,0.2
13,1.3233,0.4627,6.799,0.332
13,1.4494,0.4067,19.7129,0.22
13,1.4094,0.4147,8.1205,0.256
13,1.3117,0.484,1.7666,0.352
13,1.2838,0.4773,1.4541,0.404
13,1.2809,0.468,10.779,0.26
13,1.2193,0.496,2.2654,0.432
13,1.2646,0.4933,3.4628,0.344
13,1.2667,0.504,1.5289,0.448
13,1.2227,0.512,1.6384,0.44
13,1.1447,0.5507,1.4412,0.46
13,1.1386,0.564,1.5819,0.428
13,1.1231,0.5333,1.3047,0.472
13,1.0782,0.568,2.0633,0.436
13,1.0775,0.58,2.9225,0.428
13,1.1124,0.548,5.0091,0.34
13,1.0998,0.5733,5.471,0.232
13,1.099,0.5707,1.7611,0.436
13,1.0515,0.588,1.8204,0.428
13,0.9972,0.616,2.6509,0.44
13,0.9242,0.6413,1.489,0.448
13,0.8953,0.628,3.7955,0.408
13,0.8797,0.6467,455.6017,0.208
13,1.1488,0.532,3.0806,0.368
13,0.9858,0.612,2.2115,0.372
13,0.8562,0.6533,1.5935,0.444
13,0.7456,0.696,5.2917,0.364
13,0.7255,0.736,10.3819,0.356
13,0.6637,0.752,4.2921,0.428
13,0.5628,0.7827,2.2043,0.356
13,0.562,0.7693,1.803,0.484
13,0.5324,0.7947,2.8878,0.464
13,0.408,0.8453,2.1932,0.404
13,0.3879,0.86,3.2592,0.396
13,0.484,0.8133,4.1535,0.38
13,0.2722,0.9093,2.6808,0.468
13,0.4037,0.8613,41.2578,0.336
13,0.3201,0.8827,4.2772,0.384
13,0.222,0.9213,2.3043,0.444
13,0.2163,0.928,3.3404,0.468
13,0.1601,0.944,4.7896,0.436
13,0.1706,0.9453,3.8537,0.464
13,0.1966,0.932,4.8927,0.4
13,0.2487,0.8987,2.5276,0.468
13,0.2054,0.9253,2.6943,0.46
13,0.2333,0.9173,2.8951,0.48
13,0.1036,0.9653,3.19,0.444
13,0.0985,0.964,2.7966,0.512
13,0.093,0.9693,3.0849,0.416
13,0.1919,0.9347,3.2615,0.472
13,0.0995,0.96,8.4412,0.444
13,0.0829,0.9733,3.7835,0.464
13,0.0543,0.9827,2.8268,0.452
13,0.1329,0.9507,2.8185,0.444
13,0.1243,0.9533,4.0627,0.428
13,0.1435,0.9467,10.4423,0.444
13,0.0733,0.984,2.529,0.484
13,0.0237,0.9947,2.6555,0.476
13,0.0412,0.9853,3.1115,0.472
13,0.1842,0.9333,3.0202,0.428
13,0.0703,0.9787,2.6767,0.424
13,0.1202,0.9667,3.5119,0.408
13,0.2098,0.9213,3.5327,0.452
13,0.098,0.9653,3.488,0.444
13,0.1382,0.9493,3.2644,0.448
13,0.0688,0.976,2.6172,0.5
14,0.0285,0.992,2.9937,0.456
13,0.0618,0.9827,4.9382,0.44
13,0.0421,0.9893,3.3804,0.44
13,0.0518,0.98,10.5413,0.336
13,0.1062,0.9613,4.1657,0.368
13,0.0829,0.9693,2.9001,0.428
13,0.0874,0.968,4.587,0.412
13,0.097,0.9693,6.6519,0.376
13,0.0743,0.9747,3.1596,0.476
13,0.0797,0.9693,3.0433,0.448
13,0.0177,0.9933,3.1698,0.44
13,0.0594,0.976,2.9762,0.44
13,0.1046,0.9733,3.1389,0.44
13,0.0778,0.9747,6.9978,0.404
13,0.0561,0.9827,2.84,0.456
13,0.0337,0.9907,3.2249,0.448
13,0.0425,0.988,3.0235,0.456
14,0.0799,0.9733,5.031,0.448
13,0.1503,0.948,4.2776,0.444
13,0.0553,0.9827,3.2532,0.464
13,0.0557,0.98,3.1884,0.472
13,0.0308,0.9893,3.3138,0.472
13,0.0698,0.976,3.2667,0.42
13,0.0276,0.9947,3.0866,0.488
13,0.0574,0.9827,3.8244,0.468
13,0.1044,0.9693,3.3222,0.428
13,0.0877,0.9747,8.0981,0.384
14,0.0308,0.9933,3.7565,0.444
13,0.0199,0.992,3.1357,0.456
13,0.0225,0.9893,3.8911,0.428
13,0.03,0.9907,2.8987,0.468
13,0.0039,1,2.9941,0.476
13,0.0036,1,3.1301,0.448
13,0.0013,1,3.1629,0.48
13,0.003,1,3.2236,0.448
13,0.0011,1,3.2179,0.492
13,0.0041,0.9987,3.3555,0.436
13,0.0427,0.9867,4.1989,0.384
13,0.3705,0.8867,197.1855,0.3
13,0.2332,0.9267,3.504,0.436
13,0.0664,0.976,2.9772,0.472
13,0.052,0.9867,3.332,0.488
13,0.0103,0.9987,3.5758,0.488
13,0.0086,0.9973,3.551,0.464
13,0.0053,1,4.0899,0.412
13,0.0307,0.9867,7.0829,0.424
13,0.0372,0.984,5.0089,0.42
13,0.0586,0.9813,3.6893,0.452
13,0.0268,0.992,3.9194,0.44
13,0.1356,0.9573,3.8016,0.416
13,0.069,0.9773,14.0616,0.4
13,0.0124,0.9973,4.3579,0.42
13,0.0093,0.9973,3.5008,0.468
13,0.005,0.9987,4.4587,0.436
13,0.0025,1,3.6769,0.448
13,0.0017,1,3.6995,0.456
13,0.0017,1,4.5071,0.452
13,0.0022,1,4.3384,0.468
13,0.0012,1,4.141,0.468
13,0.001,1,3.6276,0.484
13,0.0017,0.9987,4.1775,0.452
13,0.0024,1,4.523,0.444
13,0.0011,1,3.8658,0.472
13,0.0014,1,3.7095,0.464
13,0.00097594,1,3.5459,0.468
13,0.00035011,1,3.4774,0.484
13,0.00033552,1,3.4754,0.488
13,0.00016276,1,3.6447,0.472
13,0.00036153,1,3.9538,0.46
13,0.0012,1,4.8066,0.484
13,0.00046913,1,3.9055,0.472
14,0.3377,0.9173,145.7704,0.32
13,0.2854,0.9053,3.821,0.408
13,0.071,0.9853,3.2375,0.436
13,0.0129,0.9987,3.237,0.464
13,0.0047,1,3.232,0.452
13,0.0026,1,3.1272,0.452
13,0.0033,1,3.1254,0.464
13,0.0021,1,3.1369,0.444
13,0.0016,1,3.2351,0.444
13,0.00075521,1,3.0997,0.452
13,0.00088295,1,3.181,0.452
13,0.001,1,3.328,0.472
13,0.025,0.9893,8.8761,0.32
13,0.4342,0.8733,4.9545,0.38
13,0.1198,0.9613,3.2663,0.436
13,0.0121,1,2.9925,0.48
13,0.0472,0.9853,3.4421,0.42
13,0.0276,0.992,3.1711,0.472
14,0.0103,0.9987,2.9701,0.476
13,0.0021,1,3.0622,0.452
13,0.0032,1,2.9955,0.452
13,0.0015,1,3.054,0.492
13,0.0016,1,3.0996,0.496
13,0.00099497,1,3.0975,0.46
13,0.0016,1,3.1353,0.46
13,0.0018,1,3.2848,0.46
13,0.0024,1,3.2178,0.476
14,0.0013,1,3.3254,0.468
13,0.0012,1,3.3682,0.476
13,0.0014,1,3.5361,0.468
13,0.0013,1,3.7341,0.468
13,0.022,0.996,6.284,0.4
13,0.3439,0.9013,4.4682,0.416
13,0.1841,0.9373,3.1146,0.468
13,0.0257,0.9907,2.6794,0.452
13,0.0221,0.9947,2.9985,0.456
13,0.0185,0.992,3.4502,0.448
13,0.007,0.9987,3.2554,0.452
13,0.0028,1,3.1479,0.44
13,0.0029,1,3.0996,0.456
13,0.0026,1,3.5689,0.432
13,0.0018,1,3.2282,0.444
13,0.004,1,3.4973,0.416
13,0.0013,1,3.4903,0.42
14,0.00071809,1,3.4791,0.42
13,0.00047118,1,3.5059,0.42
13,0.0085,0.9973,4.5169,0.392
13,0.0292,0.9907,6.8681,0.368
13,0.0431,0.9867,5.1825,0.392
13,0.071,0.98,5.039,0.384
13,0.1246,0.9667,3.9856,0.448
13,0.0979,0.9667,4.4791,0.392
13,0.0128,0.996,3.3564,0.436
13,0.0078,0.9973,3.5373,0.42
13,0.0045,0.9987,3.3967,0.444
13,0.0035,1,3.3647,0.42
13,0.0036,1,3.6314,0.404
13,0.0023,1,3.8486,0.388
13,0.0045,1,3.6868,0.408
13,0.0026,1,3.4302,0.416
14,0.00081766,1,3.4391,0.408
13,0.0011,1,3.4791,0.408
13,0.0016,1,3.6055,0.42
