Time,Loss,Accuracy,valLoss,valAccuracy
11,1.7276,0.3067,2.2106,0.2
7,1.5865,0.352,2.1393,0.2
7,1.4887,0.392,2.2399,0.2
7,1.4039,0.4147,2.3755,0.164
7,1.3885,0.4373,1.6925,0.336
7,1.3699,0.4387,1.9151,0.348
7,1.3005,0.4747,1.6412,0.448
7,1.2319,0.5147,3.4022,0.332
7,1.2218,0.5347,1.8624,0.416
7,1.2199,0.532,2.0515,0.38
7,1.1885,0.5293,2.1112,0.368
7,1.1664,0.54,3.1158,0.328
7,1.1294,0.544,2.1477,0.368
7,1.1066,0.5627,1.7678,0.392
7,1.0461,0.6027,1.73,0.372
7,1.031,0.5907,1.5564,0.452
7,0.9873,0.6293,1.6765,0.448
7,0.9964,0.62,1.5909,0.484
7,0.9104,0.6547,2.1103,0.416
7,0.8581,0.6733,2.2023,0.404
7,0.792,0.7067,1.8304,0.412
7,0.8474,0.6933,1.7435,0.44
8,0.8028,0.7013,1.8837,0.428
7,0.7109,0.728,2.8052,0.396
7,0.6522,0.7613,2.0832,0.468
7,0.666,0.7613,2.7527,0.356
7,0.516,0.8213,1.8429,0.44
7,0.6328,0.76,2.3735,0.372
7,0.5538,0.8053,1.8797,0.476
7,0.4084,0.8533,2.0786,0.464
7,0.5489,0.8053,2.2381,0.408
7,0.4587,0.848,1.9069,0.524
7,0.3601,0.88,2.701,0.48
7,0.345,0.8693,2.0564,0.448
7,0.321,0.888,2.758,0.384
7,0.3905,0.8653,3.161,0.392
7,0.3913,0.8613,2.4266,0.432
7,0.3107,0.8907,2.4986,0.42
7,0.3203,0.9,1.9699,0.48
7,0.2337,0.9147,2.0257,0.48
7,0.3355,0.8907,2.8043,0.392
7,0.2562,0.9053,3.8777,0.312
7,0.3131,0.896,2.4096,0.488
7,0.2139,0.9493,2.1164,0.52
7,0.2425,0.9267,2.2844,0.472
7,0.2603,0.9053,2.0693,0.504
7,0.1419,0.9493,2.2527,0.472
7,0.196,0.932,2.4116,0.508
7,0.216,0.9173,2.2018,0.46
7,0.1607,0.94,2.4574,0.484
7,0.2504,0.9293,2.416,0.468
7,0.2099,0.9227,3.5447,0.404
7,0.2673,0.908,2.349,0.48
7,0.2769,0.912,3.8344,0.36
7,0.2515,0.9067,2.8409,0.416
7,0.225,0.9147,2.1895,0.456
7,0.2193,0.9267,2.5475,0.432
7,0.1137,0.9573,2.5109,0.472
7,0.1645,0.9587,2.7712,0.468
7,0.1156,0.9613,2.4185,0.524
7,0.1499,0.9493,2.3104,0.46
7,0.1042,0.9653,2.3985,0.484
7,0.062,0.9827,2.3161,0.488
7,0.1781,0.944,2.9012,0.432
7,0.223,0.928,3.5079,0.432
7,0.1944,0.9453,2.4639,0.464
7,0.1608,0.9427,2.3441,0.496
7,0.1178,0.9627,2.383,0.488
8,0.0615,0.9827,2.1899,0.5
7,0.0795,0.9707,2.2982,0.508
7,0.0992,0.9667,2.716,0.492
7,0.1772,0.9467,2.5055,0.476
7,0.1136,0.972,3.2921,0.468
7,0.1808,0.936,2.3596,0.508
7,0.1791,0.9413,2.2912,0.464
7,0.1106,0.9653,2.5202,0.504
7,0.1262,0.952,2.6026,0.476
7,0.0758,0.9773,2.6058,0.472
7,0.084,0.9707,2.51,0.504
7,0.0736,0.9773,2.8235,0.456
7,0.0961,0.9653,2.8271,0.492
7,0.1176,0.9547,2.8506,0.496
7,0.1414,0.9507,2.9287,0.504
8,0.1749,0.9347,2.5569,0.476
7,0.1287,0.9573,2.066,0.516
7,0.0434,0.9907,2.2308,0.52
7,0.033,0.988,2.4001,0.496
7,0.0517,0.984,2.9521,0.448
7,0.05,0.9813,2.8423,0.48
7,0.0284,0.9933,2.363,0.492
7,0.1255,0.96,3.1449,0.488
