Time,Loss,Accuracy,valLoss,valAccuracy
13,3.5811,0.1171,4.8392,0.1
5,2.8979,0.1457,4.6465,0.1
5,2.6288,0.23,3.0274,0.1267
5,2.3044,0.2843,3.9909,0.1433
5,2.3133,0.2971,3.1075,0.2233
5,1.9331,0.3686,3.6433,0.1433
5,1.9502,0.3843,3.5909,0.2067
5,1.7863,0.4471,4.3005,0.1533
5,1.5543,0.4843,3.3808,0.1967
5,1.2266,0.6243,3.4068,0.18
5,1.2924,0.5871,3.6557,0.2733
5,1.0994,0.6529,4.3258,0.2267
5,0.7701,0.7514,3.5406,0.2233
5,0.8285,0.7143,6.4568,0.19
5,0.7373,0.7471,4.0499,0.2367
6,0.5831,0.8029,5.3251,0.2167
6,0.4793,0.8343,5.0397,0.2667
5,0.3519,0.8786,3.6269,0.3
5,0.2992,0.91,3.7845,0.2667
6,0.2255,0.9357,4.1208,0.2833
5,0.2911,0.9029,4.8131,0.25
5,0.3264,0.8757,7.1318,0.22
5,0.2691,0.9129,4.5341,0.2267
5,0.28,0.9071,4.9063,0.2333
5,0.2747,0.9057,5.1681,0.2833
5,0.2,0.9343,4.2744,0.2933
5,0.1518,0.9429,4.7882,0.2667
5,0.243,0.9257,4.5842,0.2467
5,0.1587,0.94,5.3596,0.2933
5,0.1885,0.9329,4.3937,0.26
5,0.1663,0.9514,3.8641,0.3133
5,0.3617,0.8986,5.1814,0.2
5,0.2513,0.9086,4.5136,0.29
5,0.2051,0.9357,4.8821,0.2433
5,0.2617,0.9314,5.4909,0.21
5,0.2466,0.93,4.3955,0.2633
5,0.1885,0.93,4.8942,0.2433
5,0.0863,0.97,5.2027,0.25
5,0.0994,0.9671,4.5333,0.32
6,0.1393,0.96,4.4718,0.27
5,0.106,0.96,4.9316,0.27
5,0.157,0.95,5.3192,0.25
5,0.1848,0.9443,5.3935,0.26
5,0.3173,0.9014,7.543,0.18
5,0.395,0.8843,6.0954,0.24
5,0.2362,0.9129,5.4643,0.27
5,0.114,0.9629,5.6471,0.2433
5,0.0895,0.9657,4.8757,0.2433
5,0.1013,0.9614,4.9082,0.27
5,0.0932,0.9729,4.0587,0.3
5,0.055,0.98,4.5655,0.2933
5,0.0543,0.9843,4.1536,0.3033
5,0.1466,0.9629,4.5321,0.29
5,0.0724,0.9729,4.7417,0.2767
5,0.044,0.9814,5.8232,0.26
5,0.2591,0.9214,5.4183,0.3033
5,0.3458,0.8929,7.3658,0.2067
5,0.2006,0.9329,6.5427,0.2133
5,0.2459,0.93,5.887,0.2
5,0.1602,0.96,7.1368,0.2433
5,0.117,0.9686,5.4136,0.27
5,0.0557,0.9829,4.4225,0.2833
5,0.0294,0.9914,4.4538,0.25
5,0.035,0.9871,4.0123,0.33
5,0.0141,0.9957,4.2017,0.3167
5,0.0028,1,4.1828,0.3267
5,0.0327,0.99,5.2668,0.26
6,0.0939,0.9786,5.0151,0.2733
5,0.1839,0.9414,7.5622,0.2567
5,0.5311,0.8443,9.0055,0.23
5,0.4537,0.8829,7.7591,0.21
5,0.2064,0.9286,7.0759,0.2467
5,0.0766,0.9686,4.8738,0.2833
5,0.1067,0.9629,6.6399,0.25
5,0.0996,0.9671,5.8484,0.2267
5,0.0673,0.9757,6.1323,0.2467
5,0.1278,0.9586,5.6616,0.2267
5,0.0903,0.9714,5.7003,0.2533
5,0.0318,0.99,4.7429,0.2833
5,0.0389,0.9914,4.716,0.31
5,0.0176,0.9957,4.6714,0.3133
5,0.0065,0.9986,4.5577,0.2867
5,0.0087,0.9971,4.8017,0.29
5,0.0207,0.99,4.4811,0.3133
5,0.1292,0.9643,5.7442,0.28
5,0.1573,0.9443,7.8894,0.2667
5,0.131,0.96,5.9365,0.27
5,0.1798,0.9529,5.7079,0.23
5,0.3288,0.9114,5.9597,0.2633
5,0.2505,0.9186,6.226,0.2633
5,0.3983,0.9071,7.3952,0.1967
5,0.165,0.94,6.2467,0.2367
6,0.0541,0.9843,5.135,0.25
5,0.0117,0.9971,4.5944,0.2767
5,0.0164,0.9914,5.0605,0.2867
5,0.0113,0.9943,4.7828,0.3033
5,0.0021,1,4.6004,0.3133
5,0.0053,0.9971,4.7011,0.2967
5,0.0022,1,4.4196,0.2833
5,0.0013,1,4.3566,0.2967
