Time,Loss,Accuracy,valLoss,valAccuracy
6,2.6056,0.1171,2.3504,0.1
3,2.3912,0.19,2.4384,0.1
3,2.2452,0.2257,2.3957,0.1
3,2.1465,0.2514,2.3943,0.1
3,2.0626,0.2671,2.5796,0.1
3,1.8582,0.3486,2.762,0.1
3,1.8879,0.32,2.8623,0.1
3,1.8499,0.3671,2.929,0.1
3,1.7182,0.4114,2.5924,0.1533
3,1.586,0.4571,2.51,0.18
3,1.4942,0.4957,2.6158,0.21
3,1.5054,0.4971,2.682,0.25
3,1.4452,0.5157,3.2286,0.2367
3,1.3772,0.5471,2.8436,0.2367
3,1.4334,0.4971,3.714,0.1967
3,1.188,0.5971,3.5578,0.21
3,1.0768,0.6371,3.9943,0.2267
3,0.9943,0.6543,3.4523,0.2467
3,0.9749,0.6571,4.7403,0.18
3,1.0264,0.6343,5.3795,0.1933
3,0.9072,0.6943,3.5572,0.2767
3,0.7712,0.7557,4.6657,0.19
3,0.6819,0.7743,3.7551,0.26
3,0.7879,0.7457,4.0458,0.25
3,0.7089,0.7471,3.8757,0.2433
3,0.7517,0.7257,3.4512,0.2533
3,0.5732,0.8229,3.5954,0.2567
3,0.5703,0.8171,3.2433,0.2667
3,0.4896,0.83,3.8599,0.2433
3,0.4967,0.84,4.8574,0.23
3,0.3342,0.8857,3.1654,0.3067
3,0.3389,0.8857,3.5734,0.28
3,0.3885,0.8771,3.6066,0.2767
3,0.3623,0.8757,3.6109,0.2867
3,0.4143,0.8714,3.9723,0.2867
3,0.2679,0.9129,3.6874,0.2933
3,0.3419,0.8857,3.45,0.29
3,0.4637,0.86,3.9028,0.2633
3,0.4022,0.8686,4.0556,0.27
3,0.3203,0.8886,4.0253,0.3033
3,0.3261,0.89,3.8073,0.2367
3,0.3135,0.9014,3.941,0.27
3,0.2845,0.9157,5.1597,0.2267
3,0.2965,0.9114,3.6828,0.2467
3,0.2156,0.9371,3.8607,0.25
3,0.1967,0.9443,3.5838,0.2967
3,0.3291,0.8843,3.9417,0.2767
3,0.2512,0.9157,4.7956,0.26
3,0.2061,0.94,4.1596,0.2533
3,0.2108,0.93,3.8333,0.2867
3,0.3188,0.9014,4.1444,0.2733
3,0.3308,0.8929,4.3622,0.2667
3,0.2613,0.9143,4.2746,0.2667
3,0.2284,0.9257,4.0623,0.27
3,0.2285,0.9243,4.0597,0.2667
3,0.2458,0.9157,3.8507,0.28
3,0.2,0.93,4.1893,0.2767
3,0.1888,0.9414,4.2626,0.2167
3,0.1397,0.9629,3.9571,0.28
3,0.1366,0.9443,4.1978,0.26
3,0.1709,0.9414,4.1933,0.2633
3,0.2019,0.9314,3.8979,0.27
3,0.234,0.9271,4.2922,0.2667
3,0.2042,0.9429,4.0053,0.28
3,0.2806,0.9171,4.1763,0.26
3,0.26,0.9171,4.2471,0.27
3,0.1621,0.9471,4.5524,0.2767
3,0.1382,0.95,4.3928,0.2667
3,0.2081,0.9414,4.544,0.26
3,0.1691,0.9457,4.6538,0.2733
3,0.111,0.9614,4.3185,0.29
3,0.1035,0.9714,4.3891,0.29
3,0.1121,0.9643,4.4223,0.2533
3,0.0789,0.9714,4.5443,0.2567
3,0.1546,0.9543,4.4827,0.2467
3,0.1609,0.95,4.0329,0.2967
3,0.2339,0.9286,4.5697,0.2733
3,0.2439,0.9229,5.0519,0.26
3,0.3474,0.8914,4.643,0.2633
3,0.3337,0.8914,4.4824,0.2733
3,0.217,0.94,4.386,0.2733
3,0.1102,0.9643,4.031,0.3167
3,0.0717,0.9771,3.778,0.3033
3,0.068,0.98,4.1571,0.3267
3,0.0736,0.9729,4.4091,0.2733
3,0.0611,0.9843,4.1726,0.3
3,0.0365,0.9886,3.8864,0.3267
3,0.0325,0.9914,4.0698,0.31
3,0.0152,0.9986,3.9123,0.3033
3,0.0425,0.9843,4.31,0.3133
3,0.0492,0.9829,4.3949,0.2867
3,0.0766,0.9743,4.4245,0.2767
3,0.1916,0.9471,4.6597,0.2933
3,0.3988,0.8943,5.6783,0.24
3,0.4128,0.8857,5.3465,0.2533
3,0.4123,0.8771,4.768,0.2567
3,0.1925,0.9343,4.8438,0.27
3,0.2137,0.94,4.6537,0.2567
3,0.0754,0.9786,4.2241,0.2933
3,0.0668,0.9814,4.211,0.28
