Time,Loss,Accuracy,valLoss,valAccuracy
9,1.3559,0.44,1.6115,0.2
7,1.0243,0.6027,1.6621,0.2
7,1.0181,0.5947,1.8548,0.2
7,0.9316,0.64,2.0379,0.34
7,0.9149,0.6813,1.6779,0.488
7,0.852,0.6907,1.6808,0.46
7,0.7893,0.712,1.3011,0.604
8,0.7993,0.684,3.3785,0.36
7,0.7709,0.704,1.2997,0.548
7,0.6649,0.756,0.6562,0.756
7,0.6718,0.7373,1.0181,0.696
7,0.6171,0.7813,0.726,0.724
7,0.5349,0.8187,1.3563,0.564
8,0.5337,0.804,1.0928,0.664
7,0.5207,0.8107,0.6892,0.772
7,0.511,0.8307,1.1152,0.668
7,0.4853,0.824,0.9135,0.736
7,0.4252,0.8453,0.7837,0.736
7,0.4181,0.848,1.2488,0.644
8,0.379,0.872,0.8426,0.796
7,0.3499,0.88,0.6335,0.784
7,0.3382,0.8787,0.8197,0.744
7,0.3214,0.88,0.7317,0.784
7,0.3632,0.8733,0.5968,0.816
7,0.2517,0.9067,0.6707,0.796
7,0.2791,0.9067,0.9642,0.776
8,0.2278,0.924,0.5079,0.812
7,0.2222,0.9253,0.7367,0.788
7,0.2694,0.9,1.0611,0.728
7,0.2792,0.8973,0.7156,0.792
7,0.2059,0.936,0.779,0.788
7,0.2488,0.9133,0.6457,0.792
7,0.1964,0.9293,0.6307,0.824
8,0.2129,0.9267,0.5132,0.816
7,0.174,0.9387,0.5937,0.84
7,0.2205,0.9333,0.6882,0.796
7,0.2646,0.9187,0.9454,0.752
7,0.1809,0.944,1.2717,0.696
7,0.1488,0.956,0.7075,0.816
7,0.171,0.9467,0.6005,0.844
7,0.1574,0.948,0.5907,0.816
8,0.1549,0.956,0.6848,0.8
7,0.1172,0.972,0.712,0.772
7,0.1105,0.9667,0.9542,0.74
7,0.1458,0.9507,0.7242,0.78
7,0.1065,0.9667,0.7953,0.78
8,0.193,0.9413,0.82,0.788
7,0.1014,0.9693,0.7729,0.848
7,0.0908,0.972,1.4612,0.708
7,0.1558,0.94,0.5194,0.876
7,0.1331,0.9547,0.7152,0.784
7,0.1623,0.952,0.6409,0.832
8,0.1026,0.9653,1.0547,0.8
7,0.0872,0.9747,0.7821,0.816
7,0.0776,0.9827,0.6619,0.816
7,0.1098,0.9747,0.6207,0.844
7,0.0592,0.9827,0.6114,0.82
8,0.0676,0.9773,0.7,0.812
7,0.0783,0.9733,1.0455,0.792
7,0.093,0.972,0.6878,0.852
7,0.1715,0.948,0.7209,0.84
7,0.0807,0.9787,0.5301,0.832
7,0.0818,0.9693,1.0964,0.764
7,0.0642,0.9773,0.847,0.756
8,0.1212,0.9667,0.694,0.808
8,0.0894,0.9693,0.7824,0.824
7,0.1264,0.9573,0.7732,0.82
7,0.0816,0.9813,1.5043,0.676
7,0.1153,0.9587,0.6988,0.812
7,0.0782,0.9827,0.658,0.824
8,0.0597,0.984,0.9082,0.792
7,0.0752,0.9733,0.8203,0.828
7,0.0411,0.9907,0.5578,0.86
7,0.0869,0.9747,0.5882,0.848
7,0.0216,0.996,0.4986,0.86
7,0.0563,0.9867,0.6257,0.84
8,0.0271,0.992,0.8322,0.808
7,0.0394,0.9893,0.6326,0.844
7,0.0489,0.988,0.9505,0.82
7,0.0503,0.9867,0.6661,0.844
7,0.0182,0.9973,0.6712,0.852
7,0.0392,0.988,0.5426,0.868
7,0.0184,0.9933,0.708,0.812
7,0.0456,0.9893,0.6581,0.852
7,0.0536,0.984,0.978,0.76
7,0.0718,0.984,0.7339,0.828
7,0.0463,0.9893,0.6847,0.844
7,0.0245,0.9947,0.735,0.8
7,0.019,0.996,0.7362,0.816
7,0.0482,0.9853,0.861,0.816
8,0.0189,0.996,0.6275,0.84
8,0.0556,0.9827,0.7907,0.832
7,0.0603,0.9867,0.9822,0.776
7,0.0107,1,0.6068,0.816
7,0.0389,0.9893,0.76,0.828
7,0.0488,0.984,0.7211,0.812
7,0.0175,0.996,0.6318,0.856
7,0.0322,0.9907,0.9018,0.824
7,0.0336,0.9893,0.5821,0.84
7,0.0139,0.9973,0.5059,0.864
7,0.0147,0.9973,0.6046,0.852
7,0.016,0.9973,0.4967,0.888
8,0.0242,0.996,0.7461,0.824
7,0.0351,0.988,0.7223,0.836
7,0.0163,0.9973,0.6475,0.836
7,0.0459,0.992,0.5825,0.852
7,0.0113,0.9987,0.563,0.852
7,0.011,0.9973,0.5377,0.864
7,0.0138,0.996,0.6043,0.864
8,0.0238,0.9933,0.853,0.8
7,0.0154,0.9947,0.5983,0.836
7,0.0076,0.9987,0.6225,0.868
7,0.0236,0.996,0.8877,0.812
7,0.0718,0.9747,0.7682,0.832
7,0.0341,0.9853,0.7874,0.828
8,0.0426,0.9853,0.6204,0.828
9,0.0307,0.9907,0.7909,0.82
7,0.0117,0.9973,0.6424,0.848
7,0.0301,0.9867,0.7174,0.836
7,0.0519,0.984,0.6115,0.848
7,0.087,0.9827,0.5565,0.86
7,0.0636,0.9893,0.8543,0.796
8,0.0219,0.9933,0.6638,0.864
7,0.0181,0.996,0.7004,0.832
7,0.0343,0.9907,0.7152,0.84
7,0.0229,0.9933,0.4547,0.852
7,0.0284,0.9893,0.5204,0.852
7,0.0543,0.9867,0.6616,0.84
8,0.0362,0.988,0.7061,0.848
7,0.0558,0.9907,0.7846,0.824
7,0.0129,0.9933,0.5991,0.86
7,0.0127,0.996,0.5469,0.84
7,0.0277,0.996,0.6475,0.852
7,0.0114,0.9973,0.5922,0.852
7,0.0268,0.9947,0.5916,0.876
7,0.0149,0.9973,0.5866,0.84
7,0.0362,0.9893,0.8847,0.836
7,0.0258,0.988,0.9601,0.816
7,0.0218,0.992,0.7135,0.848
7,0.0162,0.9973,0.7003,0.856
8,0.0429,0.9907,0.6948,0.848
7,0.0846,0.98,0.8082,0.836
7,0.0197,0.992,0.6479,0.852
7,0.0129,0.9973,0.6091,0.864
7,0.043,0.9933,0.818,0.804
7,0.0342,0.988,0.5831,0.832
7,0.0291,0.9933,0.5984,0.84
8,0.0522,0.9867,0.7841,0.828
7,0.0223,0.9933,0.8136,0.836
7,0.0137,0.996,0.9339,0.768
