Time,Loss,Accuracy,valLoss,valAccuracy
15,4.2424,0.1329,2.6126,0.13
10,2.8451,0.2143,2.6594,0.11
10,2.4562,0.2757,2.5799,0.18
10,2.234,0.2971,2.3395,0.2133
10,1.9598,0.3714,2.4741,0.27
10,1.7931,0.4286,2.1922,0.4167
10,1.6631,0.4557,2.2872,0.4033
10,1.3846,0.56,4.2258,0.4733
10,1.3827,0.5629,1.8729,0.5
10,1.3525,0.5557,1.5462,0.5433
10,1.2671,0.5686,1.6659,0.4967
10,1.1443,0.6171,5.7514,0.3333
10,1.1914,0.5814,1.6827,0.52
10,1.0544,0.6529,1.6383,0.5067
10,1.0086,0.6757,2.5315,0.4033
10,0.9451,0.68,1.979,0.4867
10,0.8602,0.6929,2.1288,0.51
10,0.7584,0.7286,1.8413,0.5367
10,0.7748,0.7357,2.5594,0.4733
10,0.6701,0.7686,1.594,0.6
10,0.6428,0.7771,1.8215,0.5567
10,0.6311,0.7871,2.0413,0.5833
10,0.5701,0.8157,1.8659,0.54
10,0.5243,0.8229,1.7582,0.5433
10,0.5438,0.8143,5.7737,0.3533
10,0.4303,0.86,2.4658,0.5633
10,0.3014,0.9086,3.267,0.5833
10,0.2748,0.9,1.8241,0.59
10,0.3215,0.8871,2.883,0.4767
11,0.2228,0.92,4.5268,0.4
10,0.2768,0.9129,2.5206,0.53
10,0.3404,0.8971,2.8013,0.5133
10,0.2168,0.9243,4.9398,0.54
10,0.1986,0.94,4.0745,0.51
10,0.2339,0.9314,7.4125,0.43
10,0.2282,0.9257,3.4095,0.4767
10,0.2362,0.9157,1.7847,0.6333
10,0.182,0.9457,2.0971,0.58
10,0.1214,0.96,2.3503,0.5833
10,0.1331,0.9543,3.212,0.5233
10,0.1478,0.9571,1.9001,0.6167
10,0.1436,0.9586,2.5953,0.57
10,0.0714,0.9786,2.0288,0.65
10,0.0615,0.98,2.7239,0.5633
10,0.0822,0.9786,1.7958,0.6333
10,0.0648,0.9757,12.0438,0.2867
10,0.0977,0.9629,1.9994,0.6433
10,0.0396,0.9886,2.4602,0.6267
10,0.075,0.9757,2.1829,0.5533
10,0.1216,0.9586,2.7062,0.57
10,0.0907,0.9629,2.0046,0.6233
11,0.0682,0.9786,2.0765,0.6333
10,0.0546,0.9771,2.1292,0.64
11,0.0484,0.98,2.0271,0.6367
10,0.0481,0.9786,2.0591,0.5967
10,0.1014,0.9671,1.8795,0.5933
10,0.0823,0.9771,2.1205,0.61
10,0.0458,0.9843,2.6939,0.6033
10,0.0543,0.9771,2.4474,0.6067
10,0.0547,0.9814,2.1168,0.6467
10,0.0395,0.9857,1.9445,0.65
10,0.0549,0.9814,1.9588,0.6667
10,0.0529,0.9829,2.0698,0.6
10,0.0316,0.9914,2.0063,0.6367
10,0.0303,0.9914,2.4433,0.6067
10,0.0257,0.99,2.2842,0.6
10,0.0244,0.99,2.1233,0.6367
10,0.0078,0.9986,1.8245,0.6767
10,0.0486,0.9829,1.9764,0.6567
10,0.0255,0.9914,2.1665,0.5933
10,0.0094,0.9986,2.2876,0.6367
10,0.0216,0.9929,1.9371,0.6533
10,0.0366,0.9857,2.0895,0.6133
10,0.0463,0.9829,4.3259,0.55
10,0.1539,0.9543,2.5174,0.64
10,0.0224,0.9914,2.4452,0.65
10,0.0106,0.9986,2.3016,0.64
10,0.0211,0.9943,2.1082,0.68
10,0.0279,0.9929,2.1338,0.61
10,0.0088,0.9986,1.7233,0.6533
10,0.0339,0.9857,2.2367,0.6267
10,0.0181,0.9971,1.8598,0.6867
10,0.0147,0.9943,1.7569,0.67
10,0.0085,0.9986,1.8713,0.6667
10,0.0193,0.9957,1.9397,0.6667
10,0.0306,0.99,2.5196,0.59
10,0.031,0.9871,1.8302,0.69
10,0.0732,0.9729,2.4776,0.6267
10,0.0471,0.9857,2.4774,0.6167
10,0.0342,0.99,2.1372,0.6333
10,0.0146,0.9929,1.6932,0.68
10,0.0135,0.9957,2.1096,0.64
10,0.0198,0.9929,1.8924,0.6933
10,0.042,0.9871,2.6035,0.6433
10,0.033,0.9871,2.766,0.5933
10,0.0476,0.9871,2.3016,0.58
10,0.0098,0.9986,2.506,0.6
10,0.0118,0.9986,2.0218,0.67
10,0.0118,0.9957,2.0969,0.6567
10,0.0049,1,1.6956,0.69
10,0.0029,1,1.7474,0.68
10,0.0085,0.9986,2.0378,0.6467
10,0.0308,0.9914,2.9667,0.59
10,0.0316,0.9914,2.1606,0.64
10,0.023,0.9929,2.7469,0.58
10,0.0107,0.9971,1.8473,0.68
10,0.0248,0.9929,2.7885,0.5833
10,0.0083,1,2.0449,0.66
10,0.0042,1,2.0017,0.6633
10,0.0128,0.9943,2.2621,0.6033
10,0.0067,0.9986,1.9208,0.6633
10,0.0104,0.9971,2.2519,0.6533
10,0.0045,0.9986,2.0358,0.6733
10,0.0023,1,2.4812,0.64
10,0.0162,0.9957,2.324,0.6567
10,0.0022,1,1.905,0.69
10,0.0088,0.9986,1.9766,0.6667
10,0.0064,0.9986,2.1497,0.6733
10,0.0158,0.9943,2.0906,0.6267
11,0.0052,0.9971,2.0219,0.65
10,0.0057,0.9986,1.9755,0.6533
10,0.0039,0.9986,2.1951,0.6633
10,0.0035,1,1.8764,0.68
10,0.0102,0.9971,2.3117,0.63
10,0.0196,0.9943,2.6697,0.61
10,0.007,0.9986,2.0795,0.6467
10,0.0066,0.9986,2.1588,0.65
10,0.0268,0.9943,2.1779,0.64
10,0.012,0.9971,2.1372,0.6733
10,0.0067,0.9971,1.9274,0.6867
10,0.009,0.9957,2.2391,0.68
10,0.003,1,2.1091,0.65
10,0.0014,1,1.9561,0.6667
10,0.0149,0.9971,2.7844,0.6067
10,0.0286,0.9929,2.7697,0.6133
10,0.0123,0.9943,2.3368,0.61
10,0.0026,1,2.0649,0.6367
10,0.0047,0.9986,2.1029,0.6667
10,0.0057,0.9986,3.1282,0.5767
10,0.0041,0.9986,2.0227,0.6333
10,0.0031,1,2.0102,0.6567
10,0.0058,0.9971,2.0422,0.67
10,0.0153,0.9929,1.8822,0.6667
10,0.01,0.9957,2.1887,0.6733
10,0.0193,0.9943,4.0841,0.5033
10,0.0172,0.9971,2.2466,0.6633
10,0.0024,1,1.9068,0.6633
10,0.0045,1,1.9756,0.68
10,0.0141,0.9971,2.038,0.6933
10,0.006,0.9986,1.9305,0.68
