Time,Loss,Accuracy,valLoss,valAccuracy
9,2.1803,0.2457,2.4921,0.1
6,1.7081,0.4314,3.0801,0.1
6,1.4938,0.5029,3.5432,0.1
6,1.3319,0.5486,4.0457,0.1
6,1.1565,0.6057,4.3966,0.1
7,1.0924,0.6443,4.5791,0.1
6,1.0077,0.6486,6.5429,0.1
6,0.8364,0.7214,7.5243,0.1
6,0.7722,0.7443,7.4565,0.1
6,0.7138,0.7329,3.3506,0.2333
6,0.6054,0.82,2.0568,0.4133
6,0.6121,0.8,8.4403,0.2267
6,0.6094,0.8014,4.8958,0.2433
6,0.5235,0.8343,2.7366,0.45
6,0.4855,0.8257,6.0976,0.2833
6,0.3915,0.8714,3.0051,0.4433
6,0.3694,0.8786,2.9268,0.3733
6,0.3014,0.9086,3.6303,0.3933
6,0.4073,0.8657,5.4262,0.3767
6,0.359,0.8786,2.2146,0.5167
6,0.4442,0.8586,4.3538,0.3767
6,0.2182,0.9229,2.949,0.4867
6,0.1632,0.9414,2.7533,0.5167
6,0.1916,0.9371,2.989,0.5233
6,0.1914,0.9271,2.4636,0.5167
6,0.2504,0.9157,2.4814,0.5267
6,0.3031,0.8886,3.8661,0.39
6,0.1959,0.9357,2.8468,0.47
6,0.1969,0.9329,2.2972,0.55
6,0.1685,0.9443,2.3555,0.5533
6,0.2114,0.9329,2.5057,0.5133
6,0.1898,0.93,2.9555,0.5033
6,0.2247,0.9129,4.3233,0.3267
6,0.2089,0.9386,3.6711,0.3633
6,0.2424,0.9314,3.5547,0.4633
6,0.1423,0.9543,2.4985,0.4833
6,0.1022,0.96,2.1922,0.5433
6,0.0635,0.98,2.2846,0.5467
6,0.1062,0.9571,2.2129,0.56
6,0.0867,0.9714,2.0411,0.5833
6,0.0946,0.97,1.8357,0.6233
6,0.1074,0.9686,3.1576,0.53
6,0.1264,0.9571,2.1171,0.5767
6,0.1736,0.9486,2.9757,0.4967
6,0.2043,0.9314,3.4308,0.4533
7,0.1654,0.9414,3.9773,0.4433
6,0.1871,0.9371,3.2593,0.4867
6,0.2403,0.9271,2.5504,0.5167
6,0.1658,0.9343,2.9543,0.5167
6,0.1872,0.9329,3.7289,0.48
6,0.1315,0.9529,2.7248,0.56
6,0.0981,0.9686,2.3494,0.5867
6,0.1013,0.9671,2.4035,0.5533
6,0.0957,0.9714,3.1086,0.5433
6,0.119,0.9629,2.9787,0.49
6,0.1057,0.9686,3.1322,0.4667
6,0.1075,0.9671,2.6671,0.54
6,0.0849,0.9729,2.4879,0.5533
6,0.0353,0.9857,2.183,0.6
6,0.0347,0.9929,2.0856,0.5967
6,0.0798,0.9657,3.0009,0.5467
6,0.128,0.9614,3.1482,0.53
6,0.1623,0.9471,3.2528,0.53
6,0.1381,0.9457,3.4282,0.5033
6,0.1921,0.94,3.5616,0.4633
6,0.0954,0.97,3.0091,0.4933
6,0.0939,0.9671,2.8227,0.55
6,0.1119,0.9614,2.7629,0.53
6,0.1658,0.9529,4.0961,0.45
6,0.0873,0.9743,2.5871,0.6267
6,0.0739,0.9786,2.9795,0.57
6,0.1047,0.9629,2.675,0.5733
8,0.0774,0.9743,2.4301,0.5433
6,0.0606,0.9814,2.0699,0.6333
6,0.0369,0.9871,2.5339,0.5867
6,0.0294,0.9914,2.0601,0.6167
6,0.0295,0.9857,2.2304,0.6
6,0.0151,0.9943,2.2606,0.5967
6,0.016,0.9957,2.2615,0.59
6,0.0242,0.99,2.7038,0.5633
6,0.0313,0.9929,2.0196,0.63
6,0.0516,0.9814,2.9562,0.54
6,0.1451,0.9571,3.6476,0.4633
6,0.1377,0.9529,4.146,0.4367
6,0.1221,0.9514,5.1996,0.3967
6,0.1672,0.9443,6.4857,0.4033
6,0.2553,0.9171,3.521,0.5267
6,0.2386,0.9286,2.8612,0.54
6,0.1556,0.9371,2.5596,0.5467
6,0.1407,0.96,2.7159,0.53
6,0.071,0.9757,2.7642,0.57
6,0.0376,0.99,2.6269,0.5767
