Time,Loss,Accuracy,valLoss,valAccuracy
19,2.9633,0.2129,2.9864,0.1167
11,2.1986,0.3057,3.5075,0.1167
11,1.9206,0.3657,3.7043,0.1133
11,1.7226,0.41,5.159,0.1233
11,1.5203,0.4743,5.4189,0.14
11,1.5079,0.5043,5.3855,0.14
11,1.4116,0.4986,3.2253,0.2033
11,1.4624,0.5157,33.6779,0.0867
11,1.3979,0.5329,4.1701,0.26
11,1.3055,0.57,4.4714,0.4033
11,1.1394,0.5929,1.7349,0.45
11,1.1663,0.6171,1.6758,0.4733
11,1.1427,0.6143,2.0268,0.4267
11,0.9525,0.6757,4.7708,0.1833
11,0.9245,0.6771,15.1954,0.1367
11,0.8219,0.7157,2.5777,0.3767
11,0.823,0.71,2.9522,0.3667
11,0.6971,0.7414,3.6649,0.3133
11,0.7117,0.7514,1.7716,0.5433
11,0.7189,0.7429,1.8224,0.5367
11,0.512,0.8271,2.0507,0.5
11,0.4482,0.8443,1.7862,0.5333
11,0.2961,0.8914,1.9164,0.53
11,0.5501,0.82,4.745,0.3133
11,0.341,0.8814,2.2882,0.5133
11,0.4565,0.8471,2.6853,0.52
11,0.4674,0.8314,1.6331,0.6
11,0.3301,0.8886,3.3396,0.5233
11,0.3163,0.8957,2.6088,0.49
11,0.2667,0.9143,3.4091,0.4967
11,0.275,0.9114,3.0946,0.4233
11,0.2418,0.9229,2.8606,0.5133
11,0.1585,0.95,1.8612,0.6133
11,0.1443,0.9414,2.2337,0.58
11,0.1955,0.9329,7.4515,0.3633
11,0.1616,0.9429,2.0435,0.5667
11,0.0961,0.9657,1.9954,0.5833
11,0.1224,0.9557,1.9806,0.59
11,0.0691,0.9814,2.1034,0.6
11,0.0488,0.9814,2.2029,0.6133
11,0.1091,0.9557,3.2145,0.5633
11,0.2741,0.9143,1.8446,0.6133
11,0.1481,0.9429,2.1674,0.5367
11,0.1771,0.9443,2.7393,0.5567
11,0.1739,0.93,3.5768,0.4733
11,0.1565,0.9443,2.9137,0.4733
11,0.1413,0.9529,8.2553,0.2067
11,0.194,0.9414,2.4689,0.5633
11,0.059,0.9757,2.2051,0.5967
11,0.1271,0.96,3.2608,0.49
11,0.1102,0.9671,2.9185,0.5667
11,0.1393,0.9457,3.4543,0.4667
11,0.0767,0.9743,2.3486,0.5733
11,0.0498,0.9829,2.0763,0.6067
11,0.0446,0.9886,2.3969,0.5733
11,0.0882,0.9729,2.2852,0.5967
11,0.0592,0.9771,3.8393,0.49
11,0.1759,0.9486,3.3068,0.5167
11,0.1116,0.9686,5.9815,0.3767
11,0.2961,0.9129,7.0281,0.3733
11,0.1363,0.9543,2.5446,0.56
11,0.1147,0.9629,17.3409,0.3233
11,0.1211,0.96,3.3079,0.5067
11,0.1721,0.95,7.9029,0.3033
11,0.1852,0.93,8.7863,0.3533
11,0.0963,0.9657,1.9138,0.6333
11,0.0752,0.9729,2.472,0.56
11,0.0353,0.9886,2.8292,0.4767
11,0.0306,0.9886,2.3009,0.6267
12,0.0104,0.9971,2.3112,0.6267
11,0.0056,0.9986,2.0997,0.6433
11,0.0045,1,2.0046,0.65
11,0.0043,0.9986,2.0636,0.6467
11,0.0147,0.9971,2.3428,0.6
11,0.0272,0.9914,2.6226,0.5767
11,0.0244,0.9914,2.1401,0.6167
11,0.0414,0.9814,2.7697,0.54
11,0.0431,0.9829,2.9335,0.58
11,0.1607,0.9543,3.73,0.4967
11,0.2051,0.9386,4.0162,0.4333
11,0.1921,0.9443,5.6995,0.4567
11,0.1111,0.96,6.9137,0.3467
11,0.0829,0.9714,2.5748,0.59
11,0.0639,0.98,2.1655,0.62
11,0.0783,0.98,2.6604,0.5533
11,0.0557,0.9771,2.6646,0.5933
11,0.064,0.9743,2.3497,0.5633
12,0.0303,0.9929,2.2731,0.5667
11,0.0648,0.9729,3.1925,0.5333
11,0.0772,0.9771,3.8458,0.5333
11,0.0505,0.9871,3.0655,0.54
11,0.0198,0.9943,2.7654,0.5933
11,0.0159,0.9957,2.0006,0.63
11,0.0786,0.9786,2.8138,0.5467
11,0.0367,0.99,3.5298,0.5133
11,0.0557,0.98,2.6673,0.6
11,0.0736,0.9771,3.0841,0.5633
11,0.0762,0.9757,2.7441,0.5733
11,0.1469,0.9671,3.9794,0.5067
11,0.1838,0.9471,5.1365,0.48
11,0.084,0.9757,2.3854,0.6133
11,0.0207,0.99,2.3636,0.5833
11,0.0228,0.9871,2.8712,0.55
11,0.0419,0.9857,2.684,0.5933
11,0.0391,0.9914,2.6071,0.6133
11,0.033,0.99,4.2002,0.4733
11,0.0159,0.9929,2.7137,0.6133
11,0.0047,1,2.3442,0.6167
11,0.0429,0.99,2.3368,0.6367
11,0.076,0.9771,3.7721,0.57
11,0.2313,0.9357,30.2463,0.3133
11,0.1741,0.9486,3.4089,0.5533
11,0.0598,0.9814,5.239,0.3867
11,0.0557,0.9814,3.1646,0.54
11,0.0377,0.99,2.6785,0.6233
11,0.0108,0.9986,2.5298,0.6
11,0.093,0.9743,3.9518,0.41
11,0.0289,0.9929,2.339,0.5933
11,0.0162,0.9943,2.5257,0.6067
11,0.0165,0.9943,2.5403,0.6533
11,0.0038,0.9986,2.7092,0.6267
11,0.0274,0.9871,2.4334,0.6167
11,0.0808,0.9786,9.8214,0.2767
11,0.0121,0.9971,2.3632,0.6333
11,0.0064,0.9986,3.1766,0.5833
11,0.056,0.98,2.3226,0.6233
11,0.006,1,2.2422,0.6467
11,0.0132,0.9957,3.3058,0.57
11,0.0364,0.99,3.2763,0.5867
11,0.0424,0.9871,2.6565,0.6033
11,0.1619,0.9614,20.108,0.3067
11,0.1957,0.93,6.2113,0.4533
11,0.1352,0.9614,4.0182,0.5633
11,0.061,0.9814,3.4477,0.5433
11,0.0254,0.99,3.1643,0.6133
11,0.0165,0.9929,3.2135,0.6
11,0.1345,0.9643,3.8495,0.5067
11,0.0178,0.9957,2.7302,0.58
11,0.0152,0.9943,2.7912,0.5667
11,0.0024,1,2.7059,0.6167
11,0.0175,0.9957,2.7674,0.63
11,0.0042,1,2.8964,0.6067
11,0.0085,0.9971,2.7097,0.6233
11,0.0092,0.9957,2.6619,0.6333
11,0.0159,0.9957,5.2566,0.39
11,0.0236,0.9943,2.5457,0.6133
11,0.0246,0.99,2.9657,0.63
11,0.0038,1,2.5991,0.6467
11,0.0096,0.9957,2.986,0.5967
11,0.0267,0.9886,3.1252,0.5833
